wall_t,ref,other,dx,dy,dz,range_m,dyaw_deg
8.500,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
8.600,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
8.700,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
8.800,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
8.900,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
9.000,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
9.100,robot1,robot2,-18.7501,1.0997,0.9876,18.8083,19.13
9.200,robot1,robot2,-19.0530,0.9631,0.9515,19.1011,28.12
9.300,robot1,robot2,-19.0530,0.9631,0.9515,19.1011,28.12
9.400,robot1,robot2,-19.0530,0.9631,0.9515,19.1011,28.12
9.500,robot1,robot2,-19.0534,0.9632,0.9561,19.1016,28.12
9.600,robot1,robot2,-19.0534,0.9632,0.9561,19.1016,28.12
9.700,robot1,robot2,-19.0534,0.9632,0.9561,19.1016,28.12
9.800,robot1,robot2,-19.0534,0.9632,0.9561,19.1016,28.12
9.900,robot1,robot2,-19.2784,0.8173,0.9553,19.3194,30.20
10.000,robot1,robot2,-19.2784,0.8173,0.9553,19.3194,30.20
10.100,robot1,robot2,-19.2784,0.8173,0.9553,19.3194,30.20
10.200,robot1,robot2,-19.2784,0.8173,0.9553,19.3194,30.20
10.300,robot1,robot2,-19.2784,0.8173,0.9553,19.3194,30.20
10.400,robot1,robot2,-19.2784,0.8173,0.9553,19.3194,30.20
10.500,robot1,robot2,-19.5533,0.6496,0.9805,19.5886,33.32
10.600,robot1,robot2,-19.5533,0.6496,0.9805,19.5886,33.32
10.700,robot1,robot2,-19.5533,0.6496,0.9805,19.5886,33.32
10.800,robot1,robot2,-19.5533,0.6496,0.9805,19.5886,33.32
10.900,robot1,robot2,-19.5533,0.6496,0.9805,19.5886,33.32
11.000,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.100,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.200,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.300,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.400,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.500,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.600,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.700,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.800,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
11.900,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
12.000,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
12.100,robot1,robot2,-19.7008,0.5490,0.9249,19.7301,35.92
12.200,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.300,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.400,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.500,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.600,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.700,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.800,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
12.900,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.000,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.100,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.200,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.300,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.400,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.500,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.600,robot1,robot2,-20.0902,0.1979,0.9264,20.1126,43.47
13.700,robot1,robot2,-20.0871,0.1950,0.9241,20.1093,43.48
13.800,robot1,robot2,-20.0871,0.1950,0.9241,20.1093,43.48
13.900,robot1,robot2,-20.0871,0.1950,0.9241,20.1093,43.48
14.000,robot1,robot2,-20.0871,0.1950,0.9241,20.1093,43.48
14.100,robot1,robot2,-20.4889,-0.3053,0.9098,20.5114,62.61
14.200,robot1,robot2,-20.4936,-0.2995,0.9153,20.5162,62.61
14.300,robot1,robot2,-20.4936,-0.2995,0.9153,20.5162,62.61
14.400,robot1,robot2,-20.4936,-0.2995,0.9153,20.5162,62.61
14.500,robot1,robot2,-20.4936,-0.2995,0.9153,20.5162,62.61
14.600,robot1,robot2,-20.4936,-0.2995,0.9153,20.5162,62.61
14.700,robot1,robot2,-20.4886,-0.3478,0.8470,20.5090,62.73
14.800,robot1,robot2,-20.4886,-0.3478,0.8470,20.5090,62.73
14.900,robot1,robot2,-20.4886,-0.3478,0.8470,20.5090,62.73
15.000,robot1,robot2,-20.4886,-0.3478,0.8470,20.5090,62.73
15.100,robot1,robot2,-20.4886,-0.3478,0.8470,20.5090,62.73
15.200,robot1,robot2,-20.5378,-0.4619,0.8265,20.5596,67.02
15.300,robot1,robot2,-20.5378,-0.4619,0.8265,20.5596,67.02
15.400,robot1,robot2,-20.5378,-0.4619,0.8265,20.5596,67.02
15.500,robot1,robot2,-20.5378,-0.4619,0.8265,20.5596,67.02
15.600,robot1,robot2,-20.5378,-0.4619,0.8265,20.5596,67.02
15.700,robot1,robot2,-20.5378,-0.4619,0.8265,20.5596,67.02
15.800,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
15.900,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.000,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.100,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.200,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.300,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.400,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.500,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.600,robot1,robot2,-20.6841,-1.0231,0.8226,20.7257,76.56
16.700,robot1,robot2,-20.0976,-0.6774,0.3349,20.1118,75.78
16.800,robot1,robot2,-20.0976,-0.6774,0.3349,20.1118,75.78
16.900,robot1,robot2,-20.0976,-0.6774,0.3349,20.1118,75.78
17.000,robot1,robot2,-20.0976,-0.6774,0.3349,20.1118,75.78
17.100,robot1,robot2,-20.0976,-0.6774,0.3349,20.1118,75.78
17.200,robot1,robot2,-20.0976,-0.6774,0.3349,20.1118,75.78
17.300,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
17.400,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
17.500,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
17.600,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
17.700,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
17.800,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
17.900,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
18.000,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
18.100,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
18.200,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
18.300,robot1,robot2,-19.8853,0.0817,0.9139,19.9064,73.64
18.400,robot1,robot2,-19.9807,-0.8879,1.0162,20.0262,88.32
18.500,robot1,robot2,-19.9807,-0.8879,1.0162,20.0262,88.32
18.600,robot1,robot2,-19.9807,-0.8879,1.0162,20.0262,88.32
18.700,robot1,robot2,-19.4329,-0.9110,1.2318,19.4932,88.15
18.800,robot1,robot2,-19.4329,-0.9110,1.2318,19.4932,88.15
18.900,robot1,robot2,-19.4329,-0.9110,1.2318,19.4932,88.15
19.000,robot1,robot2,-19.4329,-0.9110,1.2318,19.4932,88.15
19.100,robot1,robot2,-19.4329,-0.9110,1.2318,19.4932,88.15
