stamp,x,y,z,qx,qy,qz,qw
0.000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1781893146.302269,0.02612803503870964,0.05370621383190155,0.15155473351478577,0.006075936572764859,0.04540765509249233,6.859716553181083e-05,0.998950071801215
1781893148.202373,0.03227078914642334,0.05348452180624008,0.1501648724079132,0.006184449824422487,0.04546708968369705,0.00013653834748700617,0.9989466633013931
1781893148.602200,0.02688015252351761,0.05227525904774666,0.1542772799730301,0.006162715288846729,0.04594929768028755,0.00013346784673062945,0.9989247427150046
1781893149.202593,0.03190736472606659,0.053830113261938095,0.15139371156692505,0.006217131450335891,0.045684250813741584,0.00015416255342283808,0.9989365645268625
1781893149.302407,0.027347330003976822,0.05206093564629555,0.15465417504310608,0.006189099883907236,0.04602785739752341,0.00010702215787578848,0.998920976114645
1781893149.602526,0.03140993043780327,0.054209209978580475,0.15132108330726624,0.006203582931313217,0.045681619596459236,0.000157502185891575,0.9989367733651835
1781893149.702437,0.02709033712744713,0.05159614235162735,0.15470774471759796,0.0062061894895839775,0.046039766692034786,7.70714576724742e-05,0.9989203346723765
1781893150.102628,0.031429190188646317,0.053727928549051285,0.15184442698955536,0.006181985253437767,0.04567580218845894,0.00015966120740338368,0.9989371761246792
1781893150.402252,0.027535689994692802,0.05086253583431244,0.1546325981616974,0.006206718143416178,0.046025648122449206,0.00010147095773049112,0.9989209686560164
1781893151.702191,0.03177632763981819,0.05226597562432289,0.15133264660835266,0.006164672093571106,0.04565383084453618,0.0001869431716588815,0.9989382874417049
1781893151.802577,0.025996163487434387,0.051962584257125854,0.15490905940532684,0.006235190325747487,0.04605958601123493,8.214280610733057e-05,0.9989192457113029
1781893153.502429,0.03170778602361679,0.053522635251283646,0.15159396827220917,0.006207932876070244,0.04573755013155417,0.00018804261942613744,0.9989341852586233
1781893153.702301,0.027714485302567482,0.05153953656554222,0.15452943742275238,0.006240654020368147,0.04600372147092357,9.267610292409888e-05,0.9989217816462129
1781893154.102318,0.03209758922457695,0.055431101471185684,0.15196433663368225,0.00619711305627329,0.045743745022372946,0.0002028196646930663,0.9989339689612297
1781893154.302624,0.02352387085556984,0.05242099240422249,0.15709061920642853,0.006012741893900295,0.04737764590473139,-0.000835836942533459,0.9988586125739186
1781893155.302610,-0.29168900847435,0.018736034631729126,0.21288804709911346,0.027365127122881604,0.054672331875075336,-0.006522170350161128,0.9981079754724121
1781893155.702439,-0.42267364263534546,0.007636512164026499,0.23261535167694092,0.037746546762734416,0.060182662939019284,0.0030381767198813217,0.9974687921451196
1781893156.202374,-0.596224844455719,-0.007581903133541346,0.2468973845243454,0.04500719460511641,0.060141271162477146,0.003926470144961235,0.9971669717204091
1781893156.402372,-0.6793553829193115,-0.0007552756578661501,0.2737486660480499,0.03813294797293973,0.05347601728827477,0.011121217732368408,0.9977787949257286
1781893156.902393,-0.8528726696968079,-0.011820240877568722,0.2636367976665497,0.03611037487929367,0.04135356174257344,0.02356903168537501,0.9982136178373915
1781893157.102186,-0.9059965014457703,-0.016574013978242874,0.2594211995601654,0.023849213482219245,0.04398668123744177,0.026717231637396113,0.9983899894717229
1781893157.202543,-0.9216568470001221,-0.016607556492090225,0.2929210364818573,0.019503774118269986,0.04452820736562734,0.024492005820143367,0.9985173827737043
1781893158.102384,-1.2714684009552002,-0.006028488744050264,0.33090177178382874,0.0060848886721702085,0.03459113463026657,0.022869921549678665,0.9991213171657312
1781893158.302377,-1.3349261283874512,-0.035531193017959595,0.3388999104499817,0.0009217110160865843,0.03624983531576429,0.025216936598198115,0.9990241161653631
1781893158.702412,-1.4986565113067627,-0.02318427339196205,0.3477509617805481,-0.00890734143074484,0.02999772267936863,0.049154869092895445,0.998300844789228
1781893158.902182,-1.5573666095733643,-0.025540504604578018,0.38808709383010864,-0.0049703352276282455,0.03379234954829304,0.051557831785391556,0.9980857528012126
1781893160.102242,-2.0066051483154297,-0.10701150447130203,0.4155696928501129,-0.0035207421155453848,0.02120538309566163,0.06830991047521563,0.9974325420639584
1781893160.502224,-2.129432439804077,-0.14036604762077332,0.4295521676540375,0.005063256048987083,0.039779415184706984,0.061620800711018366,0.9972937442866011
1781893160.702337,-2.2534055709838867,-0.11713369935750961,0.41100412607192993,-0.0026192403000854575,0.038136994695246305,0.06868194630508101,0.9969059718113007
1781893161.202224,-2.408159017562866,-0.1707685887813568,0.4489331841468811,-0.009217945613837495,0.0313401089076635,0.06993137912106343,0.9970167558504578
1781893161.902394,-2.6621885299682617,-0.21348987519741058,0.49385708570480347,0.008411265820016334,0.01927548333015437,0.06034038825023733,0.9979562811597401
1781893162.102190,-2.738072633743286,-0.2254067063331604,0.455007404088974,0.0026090776310538576,0.02157603624171925,0.058094608362798644,0.9980744882485083
1781893162.502433,-2.8981330394744873,-0.23097111284732819,0.5048930048942566,-0.004600775435836208,0.02508170791027403,0.05864434165801852,0.9979532052294668
1781893163.002320,-3.0780699253082275,-0.24262560904026031,0.5345207452774048,-0.01194375325534989,0.026985880268129866,0.0578371837000569,0.9978897508536602
1781893163.302508,-3.201573371887207,-0.2566128969192505,0.5276398658752441,-0.012717794439281708,0.021338421705138146,0.060735851748487966,0.997844712895979
1781893163.702366,-3.3581066131591797,-0.27970173954963684,0.5259700417518616,-0.014796968443362311,0.023008675532737735,0.06295741413306988,0.9976412327651095
1781893164.102484,-3.488877058029175,-0.2996794283390045,0.569502055644989,-0.016048722274000574,0.02474662311755912,0.06343292160534902,0.9975501464844598
1781893164.302143,-3.5613033771514893,-0.3080306053161621,0.5739578008651733,-0.015373604149129225,0.024585560950008273,0.06128788621914104,0.9976988482361289
1781893164.602381,-3.682941198348999,-0.31969210505485535,0.5747309923171997,-0.017204454766962217,0.029444666752692146,0.06125584334375946,0.9975393389590808
1781893164.902340,-3.786449909210205,-0.32463526725769043,0.5964384078979492,-0.02091384612228807,0.028819407896879156,0.06331486457302246,0.9973581629014538
1781893165.002428,-3.826763391494751,-0.3304694592952728,0.5965915322303772,-0.02087499713816959,0.026522802042151357,0.062232241370356586,0.997490826889634
1781893165.602191,-4.010623455047607,-0.3743094801902771,0.627738893032074,-0.023176457135790585,0.026242669595964833,0.05664260840148654,0.9977804227667426
1781893165.902503,-4.1617045402526855,-0.370688796043396,0.6284454464912415,-0.019401536407729122,0.024737169632908344,0.04599642657076845,0.9984467782080485
1781893166.302237,-4.322947025299072,-0.3881066143512726,0.6422391533851624,-0.021338220472009294,0.0261709765305218,0.03998399121163974,0.9986295772017371
1781893166.602076,-4.361238479614258,-0.39572790265083313,0.6346117258071899,-0.01688332852333436,0.040962848328813216,0.028563661608929435,0.9986095820440141
1781893168.002161,-4.831482410430908,-0.505273699760437,0.7721178531646729,0.0023668295514291684,0.05768505449957928,0.09229858907366845,0.9940562409147227
1781893168.902436,-5.135159015655518,-0.6178537011146545,0.7678292393684387,0.029041159761973197,0.0643737045316628,0.10097061399588089,0.9923797556321967
1781893169.302237,-5.260552406311035,-0.6322910785675049,0.8056443333625793,0.026598402761833503,0.08113814067507363,0.10261159441013203,0.9910499254063934
1781893169.702146,-5.372463226318359,-0.6819078922271729,0.8280536532402039,0.023607090339136775,0.09119780659804315,0.10701652406950096,0.9897843792459122
1781893170.002069,-5.439115524291992,-0.7016932964324951,0.867923378944397,0.025383338798194047,0.09627519711589252,0.09808685537566703,0.9901846999249376
1781893170.202297,-5.498513698577881,-0.7123894095420837,0.8634922504425049,0.025301095476762788,0.0976759192602925,0.08707087643948314,0.9910791845091815
1781893170.502077,-5.601431369781494,-0.7214215993881226,0.8769381046295166,0.019713073886502976,0.09957809825501868,0.07171833666262252,0.9922459802889744
1781893170.702357,-5.644886016845703,-0.7280558347702026,0.9076862931251526,0.015627884696063552,0.09356620100264275,0.057058491670598496,0.993853844309169
1781893171.102265,-5.766698360443115,-0.7359354496002197,0.9417570233345032,0.012741489441387482,0.0899806243206627,0.024001620006692814,0.9955727430112812
1781893171.302068,-5.8576130867004395,-0.7459075450897217,0.9434889554977417,0.011740134539055013,0.0792067259691258,0.009600664467981263,0.9967428299153477
1781893171.902152,-6.06823205947876,-0.7286440134048462,0.9802481532096863,-0.005434740341063137,0.07803353841321597,-0.012638665163555798,0.9968557995708003
1781893172.302121,-6.199036598205566,-0.7189086675643921,1.0284359455108643,-0.004816625188824202,0.07695864127205793,-0.025491990420495936,0.9966967010690506
1781893173.402176,-6.6223649978637695,-0.6827072501182556,1.0824133157730103,-0.018654470466553472,0.07095602620279892,-0.03027421795112229,0.9968453881221483
1781893173.602130,-6.677089691162109,-0.6642297506332397,1.1102564334869385,-0.022582002192391405,0.06778955656326949,-0.029871933204974315,0.9969966386706816
1781893174.102345,-6.836482048034668,-0.6653382778167725,1.136513113975525,-0.02215327406747872,0.0609280116216127,-0.04894459967367157,0.9966952433896209
1781893174.202193,-6.894057273864746,-0.6558275818824768,1.136090874671936,-0.02333780190893081,0.06038686381520926,-0.053877055712321584,0.9964466741316981
1781893174.502325,-6.998558521270752,-0.6359190344810486,1.160841941833496,-0.021439867935339058,0.05602764731218369,-0.06550403918545089,0.9960474190502316
1781893175.002318,-7.209436893463135,-0.5884195566177368,1.1693400144577026,-0.027632739605513233,0.05009910089836954,-0.0723542018159929,0.9957366228361553
1781893175.201976,-7.287794589996338,-0.5919957160949707,1.1793512105941772,-0.03842909414875451,0.04528147893241759,-0.07098295024372024,0.9957078747282483
1781893175.402401,-7.353002071380615,-0.5551221966743469,1.209930181503296,-0.03525311593311559,0.035714220608876454,-0.07756657791807565,0.9957234012040302
1781893175.702086,-7.485683441162109,-0.5646587014198303,1.2003201246261597,-0.03511184244960651,0.03204648085168437,-0.08031112276652246,0.9956356191817151
1781893176.102086,-7.619813442230225,-0.5358891487121582,1.2413277626037598,-0.022216384808581298,0.029460900680054546,-0.0919419458903775,0.9950804773808883
1781893176.202301,-7.666205406188965,-0.5426316857337952,1.2355363368988037,-0.019829503953313683,0.03199293579885785,-0.09140429247028775,0.9951022505458061
1781893176.702327,-7.824342727661133,-0.5080878734588623,1.259129285812378,-0.02798236364911735,0.043449717906693816,-0.09789143649739397,0.9938543165983983
1781893176.802135,-7.849139213562012,-0.5146386027336121,1.2745667695999146,-0.02288260816767534,0.05010969659363625,-0.09936804962161871,0.9935247315888374
1781893177.102330,-7.943908214569092,-0.48246949911117554,1.274312138557434,-0.02039951931927866,0.055906805862920586,-0.1024560753597706,0.9929556989074731
1781893177.302057,-8.01751708984375,-0.4702959954738617,1.30948805809021,-0.014974887195057645,0.0579608450899489,-0.10705071060446794,0.9924496882487994
1781893177.402032,-8.080385208129883,-0.4376510977745056,1.2958123683929443,-0.011204648809508494,0.05811987303206985,-0.10584636562589432,0.992619292851571
1781893177.602329,-8.144968032836914,-0.4722646176815033,1.3160072565078735,-0.0110472568750127,0.05572056911149307,-0.09346847104303224,0.9940003931334503
1781893178.002437,-8.289222717285156,-0.40812182426452637,1.3337165117263794,-0.014142223628496093,0.05052049006813854,-0.08769124581794667,0.9947652297310151
1781893178.202100,-8.350284576416016,-0.43229979276657104,1.3369182348251343,-0.01122179889146046,0.051551790111847,-0.08245755444066108,0.9951970870386282
1781893178.602136,-8.492233276367188,-0.3824046552181244,1.357940673828125,0.0002546078476058136,0.0514288687364401,-0.0911698638217027,0.9945064463672598
1781893178.802105,-8.574896812438965,-0.3834364712238312,1.3621265888214111,-0.005717282917009963,0.046912206720958194,-0.08835804462707926,0.9949670365758304
1781893179.102091,-8.665990829467773,-0.3693079352378845,1.3978129625320435,-0.0066519346771827395,0.05120192881301436,-0.08891882739635845,0.994699729379253
1781893179.202011,-8.696210861206055,-0.36117398738861084,1.4076931476593018,-0.0021564775245941073,0.051547225058554774,-0.09092569852412752,0.9945203584252926
1781893179.702104,-8.880223274230957,-0.32606539130210876,1.4250606298446655,-0.005556614601281151,0.05324210977835586,-0.08948737954479545,0.9945483392773985
1781893180.102077,-9.018735885620117,-0.3211510181427002,1.4335376024246216,-0.0017416936718879772,0.06109265611780953,-0.08773270299120095,0.9942673937719901
1781893180.402018,-9.130602836608887,-0.2978728711605072,1.4612150192260742,-0.011047236821019097,0.051382710498520695,-0.08886510815550558,0.9946561200066526
1781893180.702210,-9.256926536560059,-0.28043508529663086,1.4545382261276245,-0.008160111360325937,0.05064156562376057,-0.08711970824980243,0.9948763569969856
1781893180.902031,-9.318828582763672,-0.26001235842704773,1.4901752471923828,-0.00594613135489093,0.04727538111149894,-0.08841534318181606,0.9949434182957765
1781893181.002196,-9.361014366149902,-0.2524469196796417,1.4795691967010498,-0.006363812436838178,0.046577443464228103,-0.08902392459244925,0.994919492421407
1781893181.302058,-9.466689109802246,-0.22793523967266083,1.499206304550171,-0.011582250299715774,0.042580385222419984,-0.09313215627954362,0.9946754006486747
1781893181.602260,-9.579915046691895,-0.2253521829843521,1.512406349182129,-0.014110853778180396,0.03772859124182225,-0.09612497715886077,0.9945538829136986
1781893181.902069,-9.657754898071289,-0.19140776991844177,1.5428082942962646,-0.011671521172922288,0.05774076767773406,-0.09991748617360742,0.9932503526798854
1781893182.102098,-9.739420890808105,-0.17512883245944977,1.5433086156845093,-0.00876874617763818,0.057424456834857536,-0.10242654236980013,0.9930429825546306
1781893182.302047,-9.811850547790527,-0.1529655009508133,1.5593006610870361,-0.009282695886806823,0.05778852273735124,-0.10348610458214495,0.9929073305740939
1781893182.802068,-9.964700698852539,-0.13211582601070404,1.5986055135726929,-0.005987152499951136,0.06807593811937462,-0.11354336054078619,0.9911799534056305
1781893183.402290,-10.195463180541992,-0.10013055056333542,1.6279109716415405,-0.005632872696928399,0.05476133300238398,-0.11252438258967423,0.9921228357704552
1781893184.002012,-10.41919231414795,-0.05270042270421982,1.662967324256897,-0.003352896463765479,0.04942079208536297,-0.12041253017971068,0.9914873461250104
1781893184.601904,-10.647418022155762,0.008985122665762901,1.6749886274337769,-0.007001347476126627,0.045817063223584115,-0.12355014057104365,0.9912553523593824
1781893184.802358,-10.694257736206055,0.006513380445539951,1.6913690567016602,-0.01686490047452622,0.05264906451780726,-0.1255295719930269,0.9905483041670708
1781893185.002038,-10.780049324035645,0.050394825637340546,1.704889178276062,-0.011807782259055558,0.04677197565336235,-0.13511413221900706,0.9896550411879607
1781893185.802299,-11.068228721618652,0.1183113157749176,1.7203000783920288,-0.013369584372481631,0.05699657494856178,-0.13693707568432567,0.9888482559323741
1781893186.001931,-11.105281829833984,0.13580143451690674,1.7753607034683228,-0.02076262002057306,0.06152745013939882,-0.1411478688499547,0.9878565437347882
1781893186.302209,-11.219125747680664,0.1732693612575531,1.780145287513733,-0.022684189219313994,0.05872393245585673,-0.14407621257876913,0.9875621516551397
1781893186.501928,-11.297188758850098,0.2000574767589569,1.786946177482605,-0.019869590892197017,0.05847954687856379,-0.14812649402351002,0.9870379320564319
1781893186.702225,-11.36172866821289,0.21597033739089966,1.8006598949432373,-0.01849810327534123,0.06658953509634366,-0.1470194493583561,0.9867162337463625
1781893187.002007,-11.461844444274902,0.24597135186195374,1.817665696144104,-0.014618178474802351,0.06288998646584522,-0.15189127642871825,0.9862860717873134
1781893187.402009,-11.586658477783203,0.2852310240268707,1.8389393091201782,-0.025500709170539006,0.06237812271558841,-0.1573938605678178,0.9852339085487143
1781893187.501885,-11.61683464050293,0.3004768490791321,1.8657301664352417,-0.022660062636528117,0.06454541892639115,-0.15937047563485324,0.9848459116473072
1781893188.602138,-11.986817359924316,0.3981025218963623,1.9003361463546753,-0.016274603231071022,0.06566124312786577,-0.1502352580435098,0.986333178516699
1781893188.702322,-12.018331527709961,0.44122084975242615,1.9378440380096436,-0.012345574468697358,0.06523709317596377,-0.1507426151217768,0.9863409060414942
1781893190.102274,-12.49199390411377,0.53047114610672,1.9972609281539917,-0.008333185346542163,0.06277651146569663,-0.11158996975816625,0.9917345064196808
1781893190.801862,-12.751361846923828,0.5796988606452942,2.0134174823760986,-0.0071967494562791366,0.05513139270582165,-0.10570104177135162,0.99284239054283
1781893191.502229,-12.976594924926758,0.6095144748687744,2.0602633953094482,-0.019778517215692685,0.06311503532417212,-0.10177122619296655,0.9926066301824802
1781893191.801999,-13.064367294311523,0.6538731455802917,2.0990583896636963,-0.02163152383534536,0.06348232732868565,-0.10980675861591165,0.9916877088531507
1781893192.002045,-13.128883361816406,0.657219648361206,2.119068145751953,-0.012770544105872887,0.06451503984779107,-0.11022514785041539,0.9917283685439237
1781893192.201883,-13.211007118225098,0.6676309108734131,2.104889392852783,-0.011434246568261596,0.06518768439433387,-0.11419633583377792,0.9912512409303458
1781893193.002066,-13.511513710021973,0.7548091411590576,2.1521782875061035,-0.012823243410492477,0.0609160375840961,-0.09781135668727274,0.9932561360968263
1781893193.402113,-13.700203895568848,0.7478671073913574,2.202493906021118,-0.011003993598995397,0.058220905210137126,-0.09331523896940287,0.9938719710585869
1781893194.001859,-13.850349426269531,0.7657967209815979,2.207613706588745,0.00181253784211124,0.06510428450969716,-0.10131135162377992,0.9927205808844017
1781893194.602034,-14.081787109375,0.8391831517219543,2.2310538291931152,-0.008251866662943554,0.05534661933986578,-0.09321802750672585,0.994071950582739
1781893195.002207,-14.19602108001709,0.827720582485199,2.2884747982025146,-0.012335998368486159,0.06826731966992539,-0.09448837630899572,0.9931058913517766
1781893195.502234,-14.3711519241333,0.8508748412132263,2.341752529144287,0.0059626250909337875,0.06429377424824048,-0.09625451316007406,0.9932601867189895
1781893195.602053,-14.40964412689209,0.8588683605194092,2.3301734924316406,0.010422104112035707,0.06875394052221442,-0.09604883973969858,0.9929445487373876
