stamp,x,y,z,qx,qy,qz,qw
0.000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1781893147.202304,0.027727963402867317,0.053625643253326416,0.14990104734897614,0.006071488844331252,0.04555046629769137,0.0001183408767204034,0.9989435829622281
1781893151.202211,0.028912227600812912,0.0523906871676445,0.15294994413852692,0.006199359964277979,0.045892718963495414,0.00013981923937240602,0.9989271294643169
1781893152.702220,0.031290847808122635,0.05124194547533989,0.15530924499034882,0.006268690217916444,0.04610246321386879,0.00018238344757881997,0.9989170379509626
1781893153.502429,0.0264491755515337,0.05428515374660492,0.15026593208312988,0.006116255045866301,0.04550206426837858,9.425716738072163e-05,0.9989455147014591
1781893154.302624,0.02338009886443615,0.05194799229502678,0.15717287361621857,0.006003632941846276,0.04739466147639896,-0.000837797441087975,0.9988578368278087
1781893154.902460,-0.15220752358436584,0.019886000081896782,0.20166592299938202,0.024855217674593453,0.05308098400755982,-0.007475021250027304,0.9982528623257592
1781893155.302610,-0.2919189929962158,0.017255930230021477,0.2154221385717392,0.027389290965704912,0.054692728338871545,-0.00654726998738925,0.9981060495769221
1781893155.802713,-0.45170560479164124,-0.005423638038337231,0.23758932948112488,0.03898519813248882,0.05915299828834836,0.004396640404089216,0.9974776957343894
1781893157.302444,-0.9527114033699036,-0.015988117083907127,0.3104579448699951,0.019546181704640897,0.04203295036089336,0.02165174833168226,0.9986903286893899
1781893157.802408,-1.1512632369995117,-0.003586105303838849,0.29960355162620544,0.010052428919471923,0.04380850916485148,0.022893953191155586,0.9987270031025247
1781893158.702412,-1.4968379735946655,-0.024928320199251175,0.3478151559829712,-0.008922289724283168,0.03002003566517712,0.0492441568086955,0.9982956428821745
1781893159.402178,-1.743901252746582,-0.06526122987270355,0.3839883804321289,-0.009611276385123293,0.025524300489687072,0.06377580018960848,0.9975914858690281
1781893159.902230,-1.9405654668807983,-0.10508378595113754,0.4267323911190033,-0.005197025746824836,0.024289591486888487,0.07061555769295856,0.9971942805863935
1781893161.302128,-2.43717885017395,-0.1623668670654297,0.47061875462532043,-0.008235388214778752,0.03234288123322044,0.06982081364225952,0.9970010776375252
1781893161.902394,-2.6636993885040283,-0.21476274728775024,0.4960344135761261,0.008327478747317749,0.019592757596882414,0.060360115404734016,0.9979496066776473
1781893162.802498,-3.0082666873931885,-0.24002647399902344,0.504551887512207,-0.008421513400178418,0.024193124365310657,0.05827876217330282,0.997971623340279
1781893163.102213,-3.1368186473846436,-0.25231799483299255,0.5278282165527344,-0.010284150163912834,0.02455925128579773,0.05973779005894784,0.9978589442740362
1781893164.002182,-3.4670603275299072,-0.29323068261146545,0.551551342010498,-0.016486532898999796,0.025335570701416756,0.06379537658379568,0.9975051006626519
1781893164.402107,-3.609652042388916,-0.31291037797927856,0.5623403787612915,-0.01433329307270242,0.029077735754035137,0.0610716489616081,0.9976067813805699
1781893165.202127,-3.920489549636841,-0.34248676896095276,0.6022716760635376,-0.02547707522813072,0.023003754650284154,0.06631131410976647,0.9972083718181604
1781893165.502346,-4.004770755767822,-0.3648170530796051,0.6194555163383484,-0.025328720355596857,0.025062265132104116,0.06265230506118376,0.9973991367428143
1781893166.402408,-4.328032493591309,-0.40509024262428284,0.6631516218185425,-0.02045470733485857,0.025865956065186414,0.037915030305433674,0.9987367086158713
1781893166.902219,-4.5007100105285645,-0.4089616537094116,0.6802671551704407,-0.019109410917909297,0.04775805133113857,0.027274450594368786,0.9983035987290474
1781893167.402174,-4.6628618240356445,-0.45452964305877686,0.6947414875030518,-0.007290931058849576,0.05671367374686298,0.07159789603413458,0.9957932187158246
1781893168.502395,-4.9982404708862305,-0.5898662209510803,0.7684661746025085,0.016805046193952122,0.053723187990230334,0.10137529601848196,0.9932544858386165
1781893169.502236,-5.322786331176758,-0.6506068110466003,0.8230347633361816,0.027799796641108168,0.08354651437213881,0.10490685388657231,0.9905764423467207
1781893169.802434,-5.3769731521606445,-0.6854799389839172,0.8379473686218262,0.022157161898215823,0.09354689812300995,0.1045835654572149,0.9898587404123125
1781893170.702357,-5.641488075256348,-0.7303873300552368,0.9074560403823853,0.015616502823821075,0.09354416426884539,0.05708318615955423,0.9938546839343102
