stamp,x,y,z,qx,qy,qz,qw
0.000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1781893146.302269,0.03406591713428497,0.03764300420880318,0.15890757739543915,0.00598941197988266,0.045874410034577984,0.00013022673884485996,0.9989292402409883
1781893147.302328,0.0345318540930748,0.039797909557819366,0.15723557770252228,0.00595896130226886,0.04578248662391499,0.00015030169095391023,0.9989336407857844
1781893148.002361,0.033998239785432816,0.03712617605924606,0.15333354473114014,0.0058855753892662534,0.04571519684404155,0.0001181246196729749,0.9989371612076637
1781893149.102446,0.033525317907333374,0.0408514142036438,0.15897361934185028,0.006042342705432997,0.04575355620788282,0.0001660060868446307,0.9989344686827234
1781893149.902191,0.03635963797569275,0.037588246166706085,0.15610595047473907,0.005961049490068402,0.045682777303336156,0.00013845137056302202,0.9989382053982083
1781893150.902439,0.033482637256383896,0.040428970009088516,0.15707705914974213,0.006036688502556373,0.04575280541594859,0.00015015213809262088,0.9989345358094722
1781893151.702191,0.037309762090444565,0.034914031624794006,0.156619131565094,0.005958090903520164,0.045696220916395316,0.00017057420254603826,0.9989376012595264
1781893152.602256,0.03588980808854103,0.04095429927110672,0.15746350586414337,0.006012051099536811,0.04574491530854311,0.0001815634446386706,0.998935042989206
1781893153.402576,0.034515541046857834,0.036540061235427856,0.15721353888511658,0.006002959123317671,0.04575383836487491,0.00012914277085619025,0.9989346998970613
1781893154.102318,0.03858012333512306,0.04217575117945671,0.15676742792129517,0.006030106432001156,0.045731122972456205,0.00019042233763126522,0.9989355650857219
1781893154.302624,0.029807118698954582,0.04543185234069824,0.16140544414520264,0.0059008835830219875,0.047187867276040275,-0.0008125785168974678,0.9988682571363039
1781893155.302610,-0.282985657453537,0.012521317228674889,0.21997690200805664,0.027234015900037125,0.054585974974180496,-0.006481389465252323,0.9981165673097363
1781893156.802529,-0.7915143370628357,-0.022068703547120094,0.2830921411514282,0.03732555176356893,0.04447520138859758,0.022452865952042274,0.9980604316402858
1781893158.102384,-1.2663644552230835,-0.0070312428288161755,0.334553986787796,0.006020450006793954,0.034488109893693615,0.022795677411018806,0.9991269547424132
1781893159.102427,-1.6080007553100586,-0.09551790356636047,0.3732830286026001,-0.0024230758250145283,0.029268221984043524,0.0665196922787293,0.9973528066705317
1781893159.702494,-1.8471089601516724,-0.09260685741901398,0.389286071062088,-0.008627149987776438,0.024644643715219842,0.0635707801495996,0.9976356764115643
1781893161.202224,-2.3976657390594482,-0.19205284118652344,0.44654256105422974,-0.009300806103892167,0.03104123937369797,0.0699239516685432,0.997025857769449
1781893162.102190,-2.723970413208008,-0.24029339849948883,0.45398005843162537,0.002020164761471579,0.021246473756696187,0.05828073190651092,0.9980720621353619
1781893163.402264,-3.2318615913391113,-0.2820028066635132,0.5377246737480164,-0.013553683414196304,0.02019472396606249,0.06157192111611472,0.9978062662538613
1781893164.402107,-3.596097230911255,-0.3306933343410492,0.5623902678489685,-0.014495296271189187,0.028756382297057986,0.06108700332612606,0.9976128009365269
1781893165.202127,-3.910088539123535,-0.3733977675437927,0.6003254652023315,-0.025880202884160423,0.022848508691681018,0.06625662595366323,0.9972051815089995
1781893165.502346,-3.9918832778930664,-0.38909265398979187,0.6193119287490845,-0.025595298419999423,0.02481498060772841,0.06263654604026034,0.9973994803631724
1781893166.802436,-4.459085941314697,-0.428230881690979,0.6656214594841003,-0.019575432409716646,0.04718532436725013,0.028215925961164023,0.9982956578087759
1781893168.302086,-4.93964147567749,-0.5790525674819946,0.7248571515083313,0.013544212081815502,0.05411852945314019,0.10087161068459784,0.9933341076720397
1781893169.402391,-5.270865440368652,-0.6881476044654846,0.8180524706840515,0.026904176672695863,0.08218082174407265,0.10449551104990827,0.9907588811111039
1781893170.802210,-5.651307106018066,-0.7673771977424622,0.910042405128479,0.014162775479685013,0.09284374805329411,0.04554835540651111,0.994537484148718
