stamp_sec,recv_wall_sec,accepted_gap_sec,x,y,z,qx,qy,qz,qw
1785495429.852205038,1789398376.075180,0.000000,-0.011454012225801655,-0.021630923050775658,-0.0029625805294039576,-0.01108216594319955,0.002621809514413566,0.00035618500145710957,0.9999350903159275
1785495429.951565027,1789398376.079185,0.099360,-0.01203686683764978,-0.019381235794040545,-0.004531197489375138,-0.011059732453036696,0.0026187735706302375,0.00032767366707266203,0.9999353563971127
1785495430.051863909,1789398376.168170,0.100299,0.04276147454606137,-0.04158329803187581,-0.0005249181835118577,-0.01103360364232594,0.0026003519275184044,0.00031926008668096154,0.9999356958492451
1785495430.152066946,1789398376.311979,0.100203,-0.007819860606011211,-0.05287264669814048,-0.000579300411069128,-0.011030961936114053,0.0024848866423533423,0.00033779312316289326,0.9999360125092728
1785495430.251229048,1789398376.375885,0.099162,-0.0022132311112837352,-0.0407706412507795,0.0012272374806565067,-0.011184734188119454,0.002530207624261838,0.0002993590250631331,0.9999342029127183
1785495430.351475954,1789398376.511283,0.100247,0.007867493568594716,-0.022853357281377277,-0.0031277931610818044,-0.0113124569087465,0.002571098437696196,0.0002605959613004555,0.9999326726641431
1785495430.451785088,1789398376.576797,0.100309,-0.005915811959070115,-0.03269490420474253,-0.002135443845624918,-0.010968422891414106,0.0020998692597581224,0.00029477352562676284,0.9999375967313838
1785495430.552309036,1789398376.716067,0.100524,0.00024315128152397475,-0.02768911279041468,-0.003670416904330176,-0.01132053844652226,0.002448670178129396,0.0002625867746194387,0.9999328879839013
1785495430.652524948,1789398376.780263,0.100216,0.0018038996695896245,-0.016660548989343944,-0.002934236722789141,-0.011841598111741855,0.002397211088373124,0.0002283661579650035,0.9999269862255222
1785495430.751563072,1789398376.885796,0.099038,0.0027686450342129174,-0.027128638610491237,-0.004159277266231609,-0.010721177847776575,0.0023683277529913953,0.00022911184359822523,0.9999396956201778
1785495430.851839066,1789398376.978176,0.100276,0.002377831154031902,-0.022527824548810596,-0.003504439842955731,-0.011316714459258167,0.0021725291235653588,0.00019949715864849783,0.9999335839404228
1785495430.952213049,1789398377.083067,0.100374,-0.0014333746022316615,-0.03135372505924229,-0.0018201383747644129,-0.01040343776803875,0.0018223051866947558,0.00019354252765244672,0.99994420355723
1785495431.052498102,1789398377.174625,0.100285,0.0009562946876874381,-0.029860609793456373,-0.0020162908853690875,-0.01074732907008083,0.0021538588151952484,0.0001287030452434372,0.9999399178178606
1785495431.152724028,1789398377.317798,0.100226,0.0003132904055076144,-0.03144964684071452,-0.0009974291674910152,-0.01072324867419594,0.0021076642168660923,0.00015739559057690886,0.999940270674228
1785495431.251972914,1789398377.384113,0.099249,0.0023727833228126896,-0.025582406251994635,-0.0015833308910441768,-0.01127463858857718,0.002307880391516028,0.00014485832971364404,0.9999337654209202
1785495431.352257013,1789398377.484338,0.100284,0.008147849192318993,-0.015127892248332093,-0.0031755849391205127,-0.01198284869787075,0.002774683647917545,0.00011503697052954943,0.99992434675541
