message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,8.3300000000,-3.7800000000,-1.3900000000,0.0000000000,0.0000000000,0.8530502707,0.5218287416,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785497053.405873299,map,8.3864555359,-3.8253250122,-1.3953142166,0.0491646818,0.0594101470,0.8516909655,0.5183394249,0.04280350982 0 0 0 0 0 0 0.04280350982 0 0 0 0 0 0 0.09418152805 0 0 0 0 0 0 0.0007498005694 0 0 0 0 0 0 0.0007498005694 0 0 0 0 0 0 0.001303869472
2,1785497055.705973864,map,8.4079570770,-3.7927253246,-1.3990706205,0.0488590272,0.0590091105,0.8519840810,0.5179323100,0.04292726005 0 0 0 0 0 0 0.04292726005 0 0 0 0 0 0 0.0943650496 0 0 0 0 0 0 0.0007526598479 0 0 0 0 0 0 0.0007526598479 0 0 0 0 0 0 0.00130763912
3,1785497055.905592203,map,8.3709459305,-3.7963912487,-1.3894529343,0.0491208563,0.0593879141,0.8516568981,0.5184020987,0.04267138522 0 0 0 0 0 0 0.04267138522 0 0 0 0 0 0 0.09398549187 0 0 0 0 0 0 0.0007467492528 0 0 0 0 0 0 0.0007467492528 0 0 0 0 0 0 0.001299844726
4,1785497056.106098890,map,8.3783607483,-3.8249464035,-1.3904489279,0.0491905835,0.0594204509,0.8518727064,0.5180369161,0.04294115176 0 0 0 0 0 0 0.04294115176 0 0 0 0 0 0 0.0943856456 0 0 0 0 0 0 0.000752980901 0 0 0 0 0 0 0.000752980901 0 0 0 0 0 0 0.001308062285
5,1785497056.205844879,map,8.4103937149,-3.8067986965,-1.3972307444,0.0490546426,0.0588685863,0.8522106680,0.5175567838,0.0427912365 0 0 0 0 0 0 0.0427912365 0 0 0 0 0 0 0.09416332202 0 0 0 0 0 0 0.0007495170631 0 0 0 0 0 0 0.0007495170631 0 0 0 0 0 0 0.001303495605
6,1785497056.405519724,map,8.4182119370,-3.8087029457,-1.3975566626,0.0488002092,0.0591325376,0.8522061282,0.5175583170,0.04308183814 0 0 0 0 0 0 0.04308183814 0 0 0 0 0 0 0.09459416795 0 0 0 0 0 0 0.0007562332527 0 0 0 0 0 0 0.0007562332527 0 0 0 0 0 0 0.001312347837
7,1785497056.505740404,map,8.4207496643,-3.8091638088,-1.3980884552,0.0488991252,0.0591158130,0.8521749278,0.5176022362,0.04299239249 0 0 0 0 0 0 0.04299239249 0 0 0 0 0 0 0.09446160637 0 0 0 0 0 0 0.0007541652755 0 0 0 0 0 0 0.0007541652755 0 0 0 0 0 0 0.001309623167
8,1785497056.605889320,map,8.4267244339,-3.8103942871,-1.3975012302,0.0489611109,0.0593330396,0.8521554557,0.5176035893,0.04287248476 0 0 0 0 0 0 0.04287248476 0 0 0 0 0 0 0.0942838285 0 0 0 0 0 0 0.0007513940897 0 0 0 0 0 0 0.0007513940897 0 0 0 0 0 0 0.001305970569
9,1785497056.705776453,map,8.4275894165,-3.8058202267,-1.3977558613,0.0489424477,0.0591652701,0.8522295371,0.5175025741,0.04292917938 0 0 0 0 0 0 0.04292917938 0 0 0 0 0 0 0.09436789527 0 0 0 0 0 0 0.0007527042047 0 0 0 0 0 0 0.0007527042047 0 0 0 0 0 0 0.001307697586
10,1785497056.805559397,map,8.4292697906,-3.8020584583,-1.3978840113,0.0491603230,0.0591808507,0.8522386535,0.5174651113,0.04289745728 0 0 0 0 0 0 0.04289745728 0 0 0 0 0 0 0.09432085998 0 0 0 0 0 0 0.0007519711276 0 0 0 0 0 0 0.0007519711276 0 0 0 0 0 0 0.001306731275
11,1785497056.905585766,map,8.4352674484,-3.8083436489,-1.3993864059,0.0489808033,0.0593180675,0.8522795578,0.5173990840,0.04318347448 0 0 0 0 0 0 0.04318347448 0 0 0 0 0 0 0.09474474226 0 0 0 0 0 0 0.0007585839047 0 0 0 0 0 0 0.0007585839047 0 0 0 0 0 0 0.001315443857
12,1785497057.005833149,map,8.4324579239,-3.8049559593,-1.3995338678,0.0490735689,0.0591872764,0.8522842932,0.5173974856,0.04291235354 0 0 0 0 0 0 0.04291235354 0 0 0 0 0 0 0.09434294781 0 0 0 0 0 0 0.0007523153598 0 0 0 0 0 0 0.0007523153598 0 0 0 0 0 0 0.001307185041
13,1785497057.105914116,map,8.4277000427,-3.8024497032,-1.4003974199,0.0491131150,0.0590481816,0.8522835913,0.5174107623,0.04309840586 0 0 0 0 0 0 0.04309840586 0 0 0 0 0 0 0.09461871697 0 0 0 0 0 0 0.000756616372 0 0 0 0 0 0 0.000756616372 0 0 0 0 0 0 0.001312852519
14,1785497057.205642939,map,8.4320249557,-3.7943873405,-1.3996698856,0.0491713166,0.0589504503,0.8522970558,0.5173942311,0.0428534002 0 0 0 0 0 0 0.0428534002 0 0 0 0 0 0 0.09425552585 0 0 0 0 0 0 0.0007509531404 0 0 0 0 0 0 0.0007509531404 0 0 0 0 0 0 0.00130538922
15,1785497057.305518866,map,8.4268274307,-3.7923715115,-1.3994626999,0.0492686428,0.0592635328,0.8522876779,0.5173646595,0.04281439408 0 0 0 0 0 0 0.04281439408 0 0 0 0 0 0 0.09419767286 0 0 0 0 0 0 0.000750052 0 0 0 0 0 0 0.000750052 0 0 0 0 0 0 0.001304201025
16,1785497057.405603170,map,8.4226455688,-3.7889955044,-1.3978964090,0.0493771027,0.0592629839,0.8523445986,0.5172606160,0.0429793924 0 0 0 0 0 0 0.0429793924 0 0 0 0 0 0 0.09444233605 0 0 0 0 0 0 0.000753864771 0 0 0 0 0 0 0.000753864771 0 0 0 0 0 0 0.001309227162
17,1785497057.506054163,map,8.4286499023,-3.7870206833,-1.4004449844,0.0492192433,0.0591636271,0.8523367722,0.5172998940,0.04282432753 0 0 0 0 0 0 0.04282432753 0 0 0 0 0 0 0.09421240675 0 0 0 0 0 0 0.0007502814755 0 0 0 0 0 0 0.0007502814755 0 0 0 0 0 0 0.001304503616
18,1785497057.605827808,map,8.4262390137,-3.7853379250,-1.3992987871,0.0491444702,0.0591082537,0.8523709217,0.5172570366,0.04306556126 0 0 0 0 0 0 0.04306556126 0 0 0 0 0 0 0.09457004837 0 0 0 0 0 0 0.0007558568816 0 0 0 0 0 0 0.0007558568816 0 0 0 0 0 0 0.001311852015
19,1785497057.705650806,map,8.4224605560,-3.7836201191,-1.4007917643,0.0493921711,0.0590522518,0.8523419769,0.5172875218,0.04276026515 0 0 0 0 0 0 0.04276026515 0 0 0 0 0 0 0.09411737585 0 0 0 0 0 0 0.0007488017011 0 0 0 0 0 0 0.0007488017011 0 0 0 0 0 0 0.001302552164
20,1785497057.805523872,map,8.4237289429,-3.7863373756,-1.4008467197,0.0494033998,0.0592944804,0.8523433782,0.5172564965,0.04285559465 0 0 0 0 0 0 0.04285559465 0 0 0 0 0 0 0.09425878036 0 0 0 0 0 0 0.0007510038417 0 0 0 0 0 0 0.0007510038417 0 0 0 0 0 0 0.001305456067
21,1785497057.905591249,map,8.4292879105,-3.7905056477,-1.4006477594,0.0491926203,0.0591989282,0.8523535706,0.5172707131,0.04316333113 0 0 0 0 0 0 0.04316333113 0 0 0 0 0 0 0.09471490445 0 0 0 0 0 0 0.0007581179583 0 0 0 0 0 0 0.0007581179583 0 0 0 0 0 0 0.001314830256
22,1785497058.005958796,map,8.4280910492,-3.7907109261,-1.4004086256,0.0491805296,0.0591176208,0.8523568086,0.5172757759,0.04305272954 0 0 0 0 0 0 0.04305272954 0 0 0 0 0 0 0.09455103289 0 0 0 0 0 0 0.0007555601888 0 0 0 0 0 0 0.0007555601888 0 0 0 0 0 0 0.001311461139
23,1785497058.105751276,map,8.4255466461,-3.7919232845,-1.4000407457,0.0491114613,0.0590289961,0.8524278812,0.5171753450,0.04308164627 0 0 0 0 0 0 0.04308164627 0 0 0 0 0 0 0.09459388363 0 0 0 0 0 0 0.0007562288159 0 0 0 0 0 0 0.0007562288159 0 0 0 0 0 0 0.001312341993
24,1785497058.205631495,map,8.4244155884,-3.7934179306,-1.4001528025,0.0492400875,0.0592262342,0.8524716635,0.5170684104,0.0428415875 0 0 0 0 0 0 0.0428415875 0 0 0 0 0 0 0.09423800642 0 0 0 0 0 0 0.0007506802232 0 0 0 0 0 0 0.0007506802232 0 0 0 0 0 0 0.001305029384
25,1785497058.305483341,map,8.4208698273,-3.7957966328,-1.3968091011,0.0492821939,0.0592909988,0.8523967071,0.5171804664,0.04317148263 0 0 0 0 0 0 0.04317148263 0 0 0 0 0 0 0.09472697932 0 0 0 0 0 0 0.0007583065106 0 0 0 0 0 0 0.0007583065106 0 0 0 0 0 0 0.001315078565
26,1785497058.405687332,map,8.4222993851,-3.7946057320,-1.3976114988,0.0491382806,0.0590781791,0.8524291731,0.5171650516,0.04300242017 0 0 0 0 0 0 0.04300242017 0 0 0 0 0 0 0.09447646997 0 0 0 0 0 0 0.0007543970807 0 0 0 0 0 0 0.0007543970807 0 0 0 0 0 0 0.001309928628
27,1785497058.506133080,map,8.4211101532,-3.7959301472,-1.3983221054,0.0489758783,0.0592341716,0.8524181685,0.5171807833,0.04282824082 0 0 0 0 0 0 0.04282824082 0 0 0 0 0 0 0.09421821102 0 0 0 0 0 0 0.0007503718799 0 0 0 0 0 0 0.0007503718799 0 0 0 0 0 0 0.001304622821
28,1785497058.605814695,map,8.4249715805,-3.7983505726,-1.3984088898,0.0490722160,0.0593470322,0.8524348382,0.5171313031,0.04307003647 0 0 0 0 0 0 0.04307003647 0 0 0 0 0 0 0.09457668002 0 0 0 0 0 0 0.0007559603598 0 0 0 0 0 0 0.0007559603598 0 0 0 0 0 0 0.001311988338
29,1785497058.705622435,map,8.4262523651,-3.8065547943,-1.3979957104,0.0490519552,0.0594527516,0.8523381538,0.5172803490,0.04310378602 0 0 0 0 0 0 0.04310378602 0 0 0 0 0 0 0.09462668863 0 0 0 0 0 0 0.0007567407904 0 0 0 0 0 0 0.0007567407904 0 0 0 0 0 0 0.001313016408
30,1785497058.805493832,map,8.4249620438,-3.8057775497,-1.3980363607,0.0490211269,0.0592969659,0.8522923911,0.5173765546,0.04304584396 0 0 0 0 0 0 0.04304584396 0 0 0 0 0 0 0.09454082869 0 0 0 0 0 0 0.0007554009876 0 0 0 0 0 0 0.0007554009876 0 0 0 0 0 0 0.001311251392
31,1785497058.905643940,map,8.4252395630,-3.8072004318,-1.3979282379,0.0490381323,0.0593191756,0.8522814095,0.5173904943,0.04277769398 0 0 0 0 0 0 0.04277769398 0 0 0 0 0 0 0.09414323229 0 0 0 0 0 0 0.0007492042542 0 0 0 0 0 0 0.0007492042542 0 0 0 0 0 0 0.001303083077
32,1785497059.005920410,map,8.4229612350,-3.8092541695,-1.3973133564,0.0492584585,0.0593877576,0.8522139627,0.5174727423,0.0431231673 0 0 0 0 0 0 0.0431231673 0 0 0 0 0 0 0.09465540408 0 0 0 0 0 0 0.0007571890102 0 0 0 0 0 0 0.0007571890102 0 0 0 0 0 0 0.001313606796
33,1785497059.105730772,map,8.4333047867,-3.8134310246,-1.4000595808,0.0491272871,0.0592295217,0.8521179607,0.5176614442,0.04297775112 0 0 0 0 0 0 0.04297775112 0 0 0 0 0 0 0.09443990308 0 0 0 0 0 0 0.000753826833 0 0 0 0 0 0 0.000753826833 0 0 0 0 0 0 0.001309177165
34,1785497059.205543995,map,8.4276189804,-3.8096745014,-1.3982518911,0.0490798696,0.0591488721,0.8520836408,0.5177316978,0.04303272367 0 0 0 0 0 0 0.04303272367 0 0 0 0 0 0 0.09452138414 0 0 0 0 0 0 0.0007550976451 0 0 0 0 0 0 0.0007550976451 0 0 0 0 0 0 0.001310851725
35,1785497059.305551767,map,8.4210681915,-3.8071899414,-1.3986825943,0.0490533109,0.0592746461,0.8521158915,0.5176666184,0.04282381228 0 0 0 0 0 0 0.04282381228 0 0 0 0 0 0 0.09421164251 0 0 0 0 0 0 0.0007502695724 0 0 0 0 0 0 0.0007502695724 0 0 0 0 0 0 0.00130448792
36,1785497059.405975819,map,8.4228601456,-3.8050618172,-1.3981920481,0.0491639659,0.0591993790,0.8521407518,0.5176238346,0.04317021877 0 0 0 0 0 0 0.04317021877 0 0 0 0 0 0 0.09472510718 0 0 0 0 0 0 0.0007582772759 0 0 0 0 0 0 0.0007582772759 0 0 0 0 0 0 0.001315040065
37,1785497059.505888700,map,8.4180622101,-3.8049027920,-1.3962923288,0.0491573686,0.0592416249,0.8521613691,0.5175857112,0.04281484482 0 0 0 0 0 0 0.04281484482 0 0 0 0 0 0 0.09419834144 0 0 0 0 0 0 0.0007500624124 0 0 0 0 0 0 0.0007500624124 0 0 0 0 0 0 0.001304214756
