stamp_sec,x,y,z
1785495429.951565,7.8559232937884005,-4.144404255596715,-0.807243529984562
1785495430.652525,7.836531781240487,-4.118663547927773,-0.802585310958515
1785495430.751563,7.866424281822547,-4.142307406305385,-0.8072269921090189
1785495430.851839,7.839855432122997,-4.128003189351951,-0.8022260707799058
1785495430.952213,7.834819462968298,-4.1162295228804116,-0.8013457265912253
1785495431.052498,7.8553242110513315,-4.135773277717106,-0.8078024762975033
1785495431.152724,7.865273337309975,-4.13895798231109,-0.810827694939535
1785495431.251973,7.868446101582728,-4.144171738694841,-0.8102485678867112
1785495431.352257,7.873119539305552,-4.136571065902626,-0.8104691614234575
1785495431.451512,7.905235550516761,-4.17265766992235,-0.8162091107784805
1785495431.55165,7.902119244428244,-4.16440030258279,-0.8138566335565935
1785495431.651866,7.889536797826206,-4.162749184362733,-0.8138591409087784
1785495431.75211,7.890325306816579,-4.158069502394633,-0.8123434084685908
1785495431.851408,7.888340782224054,-4.152972667960333,-0.8127711613771582
1785495431.951629,7.891169673920252,-4.142706446144874,-0.8123349203637653
1785495432.052097,7.888430422413152,-4.138832022547155,-0.8171175436332737
1785495432.152304,7.901443309136526,-4.149128056234229,-0.8164685398733524
1785495432.251546,7.897306054358447,-4.144623124294448,-0.8159266640913234
1785495432.351875,7.896640314407753,-4.145623959961819,-0.8175667247557215
1785495432.451059,7.892340501366655,-4.1447693904317315,-0.8146211976168583
1785495432.551098,7.889811288811406,-4.1425353763866655,-0.816524524143851
1785495432.651318,7.894454085198438,-4.145312263356296,-0.8164586831435685
1785495432.751388,7.894628742049008,-4.141158081859681,-0.8168279950916797
1785495432.851555,7.885281348947811,-4.151101158462527,-0.8136092742467235
1785495432.951649,7.842868098440391,-4.190179692213206,-0.8043408646537344
1785495433.051077,7.83720189665972,-4.170513563548122,-0.8060135479338595
1785495433.151296,7.842613191602135,-4.160862443995156,-0.8041085581105868
1785495433.251557,7.84080375208876,-4.160221890487013,-0.8047532654486087
1785495433.351827,7.859978316758017,-4.172819304836376,-0.8070090449318239
1785495433.451191,7.85883696135069,-4.165156315151459,-0.8078321201668499
1785495433.550651,7.860663683677447,-4.16391196594324,-0.8074328189111526
1785495433.65102,7.868877113058485,-4.162896569612653,-0.8085624246484697
1785495433.751178,7.8783639068682385,-4.170548215262153,-0.8113760008727096
1785495433.85131,7.885610400643383,-4.17147605347682,-0.8121839836302451
1785495433.950404,7.884839134385186,-4.1667173594751175,-0.8127040763932094
1785495434.051544,7.857640523842787,-4.155762976904719,-0.809729720547421
1785495434.150708,7.862500212344139,-4.155265579087115,-0.806763051190337
1785495434.250871,7.869153799079347,-4.153883789491431,-0.8078153269500891
1785495434.351071,7.873624556113161,-4.15320035607602,-0.8090977153696649
1785495434.451295,7.87638647998938,-4.156426547648495,-0.8111034730175124
1785495434.551486,7.8814612071605765,-4.151949124387857,-0.8107162888771395
1785495434.651635,7.88053995522331,-4.152286701553365,-0.811624317174977
1785495434.751907,7.892757650441894,-4.166774853632133,-0.8096328982987304
1785495434.851049,7.895097687268942,-4.165965988287153,-0.8146163371188014
1785495434.951306,7.897984501294678,-4.165345656408062,-0.8127737843299707
1785495435.051503,7.896784949409448,-4.156512463914158,-0.813350426027937
1785495435.151708,7.900266555228427,-4.154314850238476,-0.8153780528595261
1785495435.250991,7.9149261898336,-4.1670220561298965,-0.8180802059820511
1785495435.351385,7.913808501224959,-4.165273325701168,-0.820235150195761
1785495435.45162,7.918325948808813,-4.157939104553627,-0.8189009701211755
1785495435.550599,7.918948953614818,-4.151069000715765,-0.8170527463826542
1785495435.65158,7.922779958564081,-4.149303902267294,-0.8195611021032284
1785495435.751743,7.9271132786229925,-4.150252722067027,-0.8200002569588127
1785495435.851042,7.931719901010107,-4.15363303486076,-0.8204499301223838
1785495435.951189,7.934425871960745,-4.154148296454585,-0.8198762789404268
1785495436.051346,7.9361665769907015,-4.1458791515362785,-0.8210387511397216
1785495436.15139,7.929050770622486,-4.1475309698922835,-0.8192118078570304
1785495436.251376,7.935083354742555,-4.149960313622448,-0.8194824056642347
1785495436.351551,7.918943056675145,-4.1481141517902405,-0.8181362704394886
1785495436.450613,7.928333663082713,-4.1642932585028625,-0.8171917187873303
1785495436.550845,7.9240336736103005,-4.158597597674697,-0.8172078040972452
1785495436.651091,7.924826798049839,-4.158403507416462,-0.8179595740686034
1785495436.750402,7.918872096050883,-4.153515141253727,-0.8183359055471521
1785495436.850745,7.915260129768823,-4.144796672663421,-0.8172851409346842
1785495436.950962,7.91166588462285,-4.144535933228662,-0.8175326277459098
1785495437.050417,7.883898022612409,-4.135427172876728,-0.8113678469751274
1785495437.150522,7.8946902023895635,-4.144702021326706,-0.8154696045438279
1785495437.250828,7.900002786248084,-4.144550795679426,-0.8163299042298507
1785495437.350404,7.90068927468393,-4.133662032443373,-0.8177367010457831
1785495437.450459,7.897739058507165,-4.130071193826142,-0.8169060577709161
1785495437.550647,7.898142717229467,-4.134890096598864,-0.8154959299825288
1785495437.649825,7.900742504176825,-4.138673741868362,-0.8162460890711967
1785495437.750037,7.881358481483602,-4.131921077341126,-0.8122151127940762
1785495437.850322,7.887017946753388,-4.142866908777059,-0.8122767056654483
1785495437.950533,7.860156170693908,-4.176246608703261,-0.8042074972832067
1785495438.050499,7.862512068464786,-4.173773915820104,-0.8060068563915758
1785495438.150568,7.86569229778122,-4.169786857351415,-0.807241861115652
1785495438.249729,7.861234271085413,-4.1624237382921265,-0.8084085886384966
1785495438.350084,7.864743154080761,-4.1526334929228215,-0.8091933139974881
1785495438.450419,7.870744116883549,-4.148436051254065,-0.8073259940996715
1785495438.550498,7.874430339864257,-4.146862371172867,-0.8082461783164092
1785495438.650703,7.875554752407115,-4.144545266004311,-0.8094006581469044
1785495438.750829,7.882616302001097,-4.145042709494214,-0.8121150301477135
1785495438.850051,7.882195196596359,-4.148229090293093,-0.8143894450455496
1785495438.951115,7.879809772379392,-4.1431319347084115,-0.8131705327605598
1785495439.05039,7.876927869318175,-4.139497470085575,-0.8120778067968641
1785495439.150553,7.882622814140265,-4.15213354180545,-0.812128257942585
1785495439.250769,7.877603304367646,-4.14482193389287,-0.8127362536238336
1785495439.351068,7.8841784550124885,-4.14910945627691,-0.8162049415147199
1785495439.450487,7.86524605682628,-4.159447334408549,-0.8056430252192381
1785495439.550635,7.865297120845433,-4.1521902931497205,-0.8068854531487164
1785495439.650706,7.8617061155832335,-4.189571312704825,-0.8093898826234734
1785495439.750831,7.857097925063162,-4.187563301626977,-0.8076601006178463
1785495439.850076,7.860627582539728,-4.184816682310555,-0.8056160852911487
1785495439.950312,7.865788341383457,-4.1800183481932995,-0.8062196502037062
