stamp_sec,recv_wall_sec,accepted_gap_sec,x,y,z,qx,qy,qz,qw
1785497054.405941248,1789401353.369282,0.000000,0.010270510979377562,0.003007989356787628,-0.0019336068397344808,0.005052082908792312,-0.02492771913771477,-6.305961963615831e-05,0.9996764883202771
1785497054.505706787,1789401353.399377,0.099766,0.014717143368806904,0.0019824210685757794,-0.002065892108425005,0.0050844166345969674,-0.02493179084255051,-8.692206533767003e-05,0.999676221062313
1785497054.605535746,1789401353.423270,0.099829,0.01839156162737353,0.006081458429384914,0.018113623207968554,0.005081978248792452,-0.02486352794671618,-0.00011973458472442998,0.9996779302049004
1785497054.705661774,1789401353.430149,0.100126,-0.007713564648591874,-0.009329859305283905,0.009890565061905332,0.005141573709875652,-0.02463476028930991,-0.00017667976465455856,0.9996832806391921
1785497054.805952787,1789401353.543095,0.100291,-0.017304687484700598,-0.004445393679503454,0.005227659536711171,0.004976734715509525,-0.024621871056135156,-0.0001911645233702882,0.9996844297243977
1785497054.905803442,1789401353.644018,0.099851,-0.020978952060604482,-0.005290925114860661,-0.002529789138716154,0.005137059690465013,-0.02470801408351675,-0.0002747559960719728,0.9996814738540125
1785497055.005619049,1789401353.754689,0.099816,-0.0001938788835011418,0.008990647586849372,-0.0003941830097508592,0.005068415507860715,-0.02495398047433743,-0.0001510954203414938,0.9996757410245098
1785497055.105588913,1789401353.839220,0.099970,-0.003139146779275223,0.010527469644344822,-0.0017543474232806222,0.00520542368585871,-0.024887756514417093,-7.568361360561586e-05,0.9996766964433668
1785497055.205743551,1789401354.023344,0.100155,0.0012860997777693894,0.00980795102670565,0.002664566395587431,0.004993773452674054,-0.02488201521304089,-5.1721159455517524e-05,0.9996779205677027
1785497055.305948734,1789401354.067992,0.100205,0.00337186915822503,-0.0005306641442667836,-0.0027748888485215617,0.005040479058738751,-0.024838599219959883,-0.00013105135900029933,0.9996787585945761
1785497055.405633688,1789401354.140906,0.099685,0.010912563589406996,-0.0014072802507862948,0.0017734010305195946,0.005148983291604295,-0.024898083314845547,-0.0001877316016344654,0.9996767168315758
1785497055.505555868,1789401354.246263,0.099922,0.014099907308777318,0.00880511016551844,0.0028784409116360266,0.0052914144576149715,-0.025025344411951478,-0.00012544332626362493,0.9996728051387993
1785497055.605664492,1789401354.346844,0.100109,0.022212350330126515,0.004461572438346536,0.0039822891733958254,0.005335444222813005,-0.025078388690512893,-0.00010794968094880446,0.9996712438609516
1785497055.705973864,1789401354.447421,0.100309,0.008123751164487908,0.016049784070531193,0.005591098912431036,0.005097796431751536,-0.02494567929914905,-2.5174249075131932e-05,0.9996758099114454
1785497055.805754423,1789401354.547800,0.099781,0.007052744053336196,0.004795795979988999,0.0009632102437273637,0.0052093484641666885,-0.024827003270828107,-7.529739139786955e-05,0.9996781866818316
1785497055.905592203,1789401354.658206,0.099838,-0.0005572952929542851,-0.0012405348845417755,-0.00171516176806219,0.005099513710990905,-0.024469529029179718,-0.00015001915933800472,0.9996875584917801
1785497056.005571604,1789401354.751880,0.099979,0.005867707010046019,0.003927885211161736,0.00478198753399095,0.005285882909759679,-0.024813182159427075,-9.040379981722549e-05,0.9996781268289024
1785497056.106098890,1789401354.848411,0.100527,0.00702837752580282,0.00198636468455319,-0.0019027505184936455,0.005181666100355569,-0.0249756489926298,-0.0001750183305180675,0.9996746153936331
