message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
18,1785495431.551650047,map,7.8522582054,-4.1452150345,-1.1586418152,0.0351829161,0.0588925511,0.8544440692,0.5149943150,0.04319227465 0 0 0 0 0 0 0.04319227465 0 0 0 0 0 0 0.094757777 0 0 0 0 0 0 0.0007587874768 0 0 0 0 0 0 0.0007587874768 0 0 0 0 0 0 0.001315711926
19,1785495431.651865959,map,7.8573479652,-4.1518354416,-1.1581277847,0.0351702751,0.0591808786,0.8544886875,0.5148880779,0.04306610282 0 0 0 0 0 0 0.04306610282 0 0 0 0 0 0 0.0945708509 0 0 0 0 0 0 0.0007558694037 0 0 0 0 0 0 0.0007558694037 0 0 0 0 0 0 0.001311868512
20,1785495431.752110004,map,7.8461265564,-4.1377730370,-1.1593574286,0.0358785062,0.0593641854,0.8542926444,0.5151433863,0.04345867453 0 0 0 0 0 0 0.04345867453 0 0 0 0 0 0 0.09515216301 0 0 0 0 0 0 0.0007649531413 0 0 0 0 0 0 0.0007649531413 0 0 0 0 0 0 0.00132382693
21,1785495431.851408005,map,7.8501358032,-4.1361656189,-1.1599533558,0.0358505054,0.0592846666,0.8542567752,0.5152139976,0.04337277688 0 0 0 0 0 0 0.04337277688 0 0 0 0 0 0 0.09502504063 0 0 0 0 0 0 0.0007629644377 0 0 0 0 0 0 0.0007629644377 0 0 0 0 0 0 0.001321210338
22,1785495431.951628923,map,7.8313307762,-4.1471023560,-1.1591098309,0.0355709432,0.0593363229,0.8547310948,0.5144400998,0.04282532259 0 0 0 0 0 0 0.04282532259 0 0 0 0 0 0 0.09421388264 0 0 0 0 0 0 0.0007503044631 0 0 0 0 0 0 0.0007503044631 0 0 0 0 0 0 0.001304533927
23,1785495432.052097082,map,7.8347454071,-4.1511206627,-1.1595411301,0.0358981688,0.0596571339,0.8546603620,0.5144978616,0.04351979251 0 0 0 0 0 0 0.04351979251 0 0 0 0 0 0 0.09524258845 0 0 0 0 0 0 0.0007663685233 0 0 0 0 0 0 0.0007663685233 0 0 0 0 0 0 0.00132568869
24,1785495432.152303934,map,7.8532018661,-4.1607346535,-1.1591600180,0.0358216723,0.0594067331,0.8543433076,0.5150584374,0.04342245592 0 0 0 0 0 0 0.04342245592 0 0 0 0 0 0 0.09509856702 0 0 0 0 0 0 0.0007641145316 0 0 0 0 0 0 0.0007641145316 0 0 0 0 0 0 0.001322723648
25,1785495432.251545906,map,7.8516821861,-4.1609630585,-1.1611187458,0.0358673567,0.0594296594,0.8542735305,0.5151682912,0.04274964768 0 0 0 0 0 0 0.04274964768 0 0 0 0 0 0 0.09410162353 0 0 0 0 0 0 0.0007485564828 0 0 0 0 0 0 0.0007485564828 0 0 0 0 0 0 0.001302228737
26,1785495432.351875067,map,7.8555426598,-4.1611084938,-1.1601051092,0.0361520822,0.0596427010,0.8542903161,0.5150960029,0.04296747438 0 0 0 0 0 0 0.04296747438 0 0 0 0 0 0 0.09442466887 0 0 0 0 0 0 0.000753589292 0 0 0 0 0 0 0.000753589292 0 0 0 0 0 0 0.001308864118
27,1785495432.451059103,map,7.8606853485,-4.1571493149,-1.1609815359,0.0359333052,0.0594898881,0.8543135800,0.5150903835,0.04316436173 0 0 0 0 0 0 0.04316436173 0 0 0 0 0 0 0.09471643111 0 0 0 0 0 0 0.0007581417968 0 0 0 0 0 0 0.0007581417968 0 0 0 0 0 0 0.00131486165
28,1785495432.551098108,map,7.8875055313,-4.1780829430,-1.1644432545,0.0360805732,0.0592338134,0.8536788587,0.5161608166,0.04335494739 0 0 0 0 0 0 0.04335494739 0 0 0 0 0 0 0.09499864915 0 0 0 0 0 0 0.000762551727 0 0 0 0 0 0 0.000762551727 0 0 0 0 0 0 0.001320667221
29,1785495432.651318073,map,7.8708047867,-4.1666903496,-1.1630477905,0.0356682259,0.0593263564,0.8538213797,0.5159430679,0.04307573875 0 0 0 0 0 0 0.04307573875 0 0 0 0 0 0 0.09458512985 0 0 0 0 0 0 0.0007560922134 0 0 0 0 0 0 0.0007560922134 0 0 0 0 0 0 0.001312162039
30,1785495432.751388073,map,7.8586716652,-4.1674728394,-1.1605588198,0.0366071715,0.0596742041,0.8538126871,0.5158514768,0.04308329015 0 0 0 0 0 0 0.04308329015 0 0 0 0 0 0 0.0945963195 0 0 0 0 0 0 0.0007562668286 0 0 0 0 0 0 0.0007562668286 0 0 0 0 0 0 0.001312392068
31,1785495432.851555109,map,7.8641190529,-4.1620903015,-1.1602995396,0.0362572010,0.0598941361,0.8538140537,0.5158484870,0.04310381727 0 0 0 0 0 0 0.04310381727 0 0 0 0 0 0 0.09462673492 0 0 0 0 0 0 0.0007567415129 0 0 0 0 0 0 0.0007567415129 0 0 0 0 0 0 0.00131301736
32,1785495432.951648951,map,7.8604412079,-4.1562490463,-1.1624844074,0.0364185544,0.0596401648,0.8538498675,0.5158073219,0.04273387378 0 0 0 0 0 0 0.04273387378 0 0 0 0 0 0 0.09407821985 0 0 0 0 0 0 0.0007481921909 0 0 0 0 0 0 0.0007481921909 0 0 0 0 0 0 0.001301748237
33,1785495433.051076889,map,7.8613009453,-4.1533722878,-1.1623976231,0.0365242070,0.0598089805,0.8539605227,0.5155970320,0.04311256286 0 0 0 0 0 0 0.04311256286 0 0 0 0 0 0 0.09463969272 0 0 0 0 0 0 0.0007569437634 0 0 0 0 0 0 0.0007569437634 0 0 0 0 0 0 0.001313283766
34,1785495433.151295900,map,7.8515167236,-4.1547889709,-1.1592019796,0.0360065585,0.0596439205,0.8541514823,0.5153361436,0.04288345091 0 0 0 0 0 0 0.04288345091 0 0 0 0 0 0 0.09430009051 0 0 0 0 0 0 0.000751647477 0 0 0 0 0 0 0.000751647477 0 0 0 0 0 0 0.001306304617
35,1785495433.251557112,map,7.8538308144,-4.1217703819,-1.1600967646,0.0353443008,0.0596399851,0.8540463443,0.5155566488,0.04310500101 0 0 0 0 0 0 0.04310500101 0 0 0 0 0 0 0.09462848883 0 0 0 0 0 0 0.0007567688879 0 0 0 0 0 0 0.0007567688879 0 0 0 0 0 0 0.001313053419
36,1785495433.351826906,map,7.8490729332,-4.1231551170,-1.1593133211,0.0356285217,0.0593631849,0.8542544672,0.5152241637,0.04295324008 0 0 0 0 0 0 0.04295324008 0 0 0 0 0 0 0.09440356701 0 0 0 0 0 0 0.0007532602893 0 0 0 0 0 0 0.0007532602893 0 0 0 0 0 0 0.001308430516
37,1785495433.451190948,map,7.8376154900,-4.2046856880,-1.1580936909,0.0354228236,0.0591107763,0.8532571610,0.5169171269,0.04311632942 0 0 0 0 0 0 0.04311632942 0 0 0 0 0 0 0.09464527326 0 0 0 0 0 0 0.0007570308707 0 0 0 0 0 0 0.0007570308707 0 0 0 0 0 0 0.001313398502
38,1785495433.550651073,map,7.8385767937,-4.1956720352,-1.1563283205,0.0351779966,0.0595115327,0.8535171230,0.5164584735,0.04312460991 0 0 0 0 0 0 0.04312460991 0 0 0 0 0 0 0.09465754138 0 0 0 0 0 0 0.000757222374 0 0 0 0 0 0 0.000757222374 0 0 0 0 0 0 0.00131365074
39,1785495433.651020050,map,7.8408555984,-4.1765384674,-1.1576267481,0.0354661370,0.0592271648,0.8537115210,0.5161501277,0.04280699208 0 0 0 0 0 0 0.04280699208 0 0 0 0 0 0 0.09418669342 0 0 0 0 0 0 0.0007498810098 0 0 0 0 0 0 0.0007498810098 0 0 0 0 0 0 0.001303975548
40,1785495433.751178026,map,7.8486890793,-4.1733031273,-1.1587866545,0.0353208779,0.0592030062,0.8537373192,0.5161201311,0.04332540604 0 0 0 0 0 0 0.04332540604 0 0 0 0 0 0 0.09495491771 0 0 0 0 0 0 0.0007618679734 0 0 0 0 0 0 0.0007618679734 0 0 0 0 0 0 0.00131976734
41,1785495433.851310015,map,7.8502597809,-4.1679067612,-1.1590255499,0.0356477068,0.0593390616,0.8538464263,0.5159015636,0.04298822081 0 0 0 0 0 0 0.04298822081 0 0 0 0 0 0 0.0944554227 0 0 0 0 0 0 0.0007540688431 0 0 0 0 0 0 0.0007540688431 0 0 0 0 0 0 0.00130949609
42,1785495433.950403929,map,7.8548603058,-4.1636934280,-1.1591142416,0.0355282813,0.0594735191,0.8538592066,0.5158731268,0.04311908841 0 0 0 0 0 0 0.04311908841 0 0 0 0 0 0 0.09464936093 0 0 0 0 0 0 0.0007570946773 0 0 0 0 0 0 0.0007570946773 0 0 0 0 0 0 0.001313482545
43,1785495434.051543951,map,7.8502874374,-4.1629562378,-1.1601916552,0.0354423977,0.0595512535,0.8538779025,0.5158391277,0.04365293701 0 0 0 0 0 0 0.04365293701 0 0 0 0 0 0 0.09543950759 0 0 0 0 0 0 0.0007694529933 0 0 0 0 0 0 0.0007694529933 0 0 0 0 0 0 0.001329744504
44,1785495434.150707960,map,7.8525662422,-4.1613426208,-1.1595275402,0.0355382464,0.0594705030,0.8538960578,0.5158117563,0.04314757264 0 0 0 0 0 0 0.04314757264 0 0 0 0 0 0 0.09469156024 0 0 0 0 0 0 0.0007577534642 0 0 0 0 0 0 0.0007577534642 0 0 0 0 0 0 0.001314350225
45,1785495434.250870943,map,7.8701748848,-4.1534781456,-1.1609632969,0.0359524076,0.0600628914,0.8541683963,0.5152632933,0.04305707373 0 0 0 0 0 0 0.04305707373 0 0 0 0 0 0 0.0945574707 0 0 0 0 0 0 0.0007556606328 0 0 0 0 0 0 0.0007556606328 0 0 0 0 0 0 0.00131159347
46,1785495434.351070881,map,7.8711137772,-4.1487202644,-1.1635987759,0.0360440726,0.0597594683,0.8539470115,0.5156589699,0.0428979259 0 0 0 0 0 0 0.0428979259 0 0 0 0 0 0 0.09432155486 0 0 0 0 0 0 0.0007519819566 0 0 0 0 0 0 0.0007519819566 0 0 0 0 0 0 0.00130674555
47,1785495434.451294899,map,7.8684988022,-4.1448526382,-1.1612241268,0.0358210092,0.0592071149,0.8539177810,0.5157865936,0.04286399123 0 0 0 0 0 0 0.04286399123 0 0 0 0 0 0 0.09427123274 0 0 0 0 0 0 0.0007511978426 0 0 0 0 0 0 0.0007511978426 0 0 0 0 0 0 0.001305711841
48,1785495434.551486015,map,7.8630375862,-4.1447615623,-1.1602517366,0.0355303512,0.0594718887,0.8539485189,0.5157253283,0.04355401495 0 0 0 0 0 0 0.04355401495 0 0 0 0 0 0 0.09529321233 0 0 0 0 0 0 0.00076716119 0 0 0 0 0 0 0.00076716119 0 0 0 0 0 0 0.001326731166
49,1785495434.651634932,map,7.8695831299,-4.2047286034,-1.1622345448,0.0353731748,0.0590613771,0.8531905964,0.5170361542,0.04307445997 0 0 0 0 0 0 0.04307445997 0 0 0 0 0 0 0.09458323493 0 0 0 0 0 0 0.000756062644 0 0 0 0 0 0 0.000756062644 0 0 0 0 0 0 0.001312123085
50,1785495434.751907110,map,7.8624558449,-4.1663823128,-1.1625508070,0.0351488137,0.0591306741,0.8534331645,0.5166429745,0.04295340732 0 0 0 0 0 0 0.04295340732 0 0 0 0 0 0 0.09440381496 0 0 0 0 0 0 0.0007532641548 0 0 0 0 0 0 0.0007532641548 0 0 0 0 0 0 0.001308435611
51,1785495434.851048946,map,7.8580403328,-4.1624364853,-1.1607074738,0.0355671198,0.0589629496,0.8536523235,0.5162713667,0.0426364267 0 0 0 0 0 0 0.0426364267 0 0 0 0 0 0 0.09393360661 0 0 0 0 0 0 0.0007459421647 0 0 0 0 0 0 0.0007459421647 0 0 0 0 0 0 0.001298779829
52,1785495434.951306105,map,7.8529191017,-4.1920175552,-1.1585927010,0.0360961327,0.0594079373,0.8536961525,0.5161110870,0.04290914384 0 0 0 0 0 0 0.04290914384 0 0 0 0 0 0 0.09433818864 0 0 0 0 0 0 0.0007522411864 0 0 0 0 0 0 0.0007522411864 0 0 0 0 0 0 0.001307087268
53,1785495435.051502943,map,7.8683252335,-4.1646413803,-1.1594170332,0.0359134035,0.0588919029,0.8537345261,0.5161195681,0.0446322674 0 0 0 0 0 0 0.0446322674 0 0 0 0 0 0 0.09688496786 0 0 0 0 0 0 0.0007921855388 0 0 0 0 0 0 0.0007921855388 0 0 0 0 0 0 0.001359576613
54,1785495435.151707888,map,7.8689699173,-4.1666779518,-1.1612397432,0.0356303032,0.0593062170,0.8538083878,0.5159694359,0.04371294607 0 0 0 0 0 0 0.04371294607 0 0 0 0 0 0 0.09552822848 0 0 0 0 0 0 0.0007708436676 0 0 0 0 0 0 0.0007708436676 0 0 0 0 0 0 0.001331572484
55,1785495435.250991106,map,7.8744597435,-4.1452970505,-1.1598739624,0.0359613321,0.0597945514,0.8539798561,0.5156061935,0.04301710862 0 0 0 0 0 0 0.04301710862 0 0 0 0 0 0 0.09449824102 0 0 0 0 0 0 0.0007547366424 0 0 0 0 0 0 0.0007547366424 0 0 0 0 0 0 0.001310376063
56,1785495435.351385117,map,7.8785772324,-4.1394910812,-1.1634720564,0.0359371390,0.0594039362,0.8541191482,0.5154222971,0.04322400902 0 0 0 0 0 0 0.04322400902 0 0 0 0 0 0 0.09480477814 0 0 0 0 0 0 0.0007595216348 0 0 0 0 0 0 0.0007595216348 0 0 0 0 0 0 0.00131667861
57,1785495435.451620102,map,7.8746614456,-4.1369142532,-1.1625709534,0.0358872193,0.0593413369,0.8541711940,0.5153467555,0.04298609447 0 0 0 0 0 0 0.04298609447 0 0 0 0 0 0 0.09445227079 0 0 0 0 0 0 0.0007540196914 0 0 0 0 0 0 0.0007540196914 0 0 0 0 0 0 0.001309431318
58,1785495435.550599098,map,7.8451743126,-4.0790491104,-1.1606330872,0.0360831411,0.0587263070,0.8541190593,0.5154899724,0.04310637345 0 0 0 0 0 0 0.04310637345 0 0 0 0 0 0 0.0946305223 0 0 0 0 0 0 0.0007568006264 0 0 0 0 0 0 0.0007568006264 0 0 0 0 0 0 0.001313095226
59,1785495435.651580095,map,7.8482370377,-4.1022744179,-1.1574925184,0.0357536965,0.0591614354,0.8540364155,0.5156000160,0.04346970762 0 0 0 0 0 0 0.04346970762 0 0 0 0 0 0 0.09516848824 0 0 0 0 0 0 0.0007652086244 0 0 0 0 0 0 0.0007652086244 0 0 0 0 0 0 0.001324163017
60,1785495435.751743078,map,7.8572149277,-4.1172790527,-1.1601800919,0.0355319236,0.0594026799,0.8541148674,0.5154576969,0.04287492207 0 0 0 0 0 0 0.04287492207 0 0 0 0 0 0 0.09428744292 0 0 0 0 0 0 0.000751450406 0 0 0 0 0 0 0.000751450406 0 0 0 0 0 0 0.001306044813
61,1785495435.851042032,map,7.8580603600,-4.1246037483,-1.1617692709,0.0354561275,0.0591823809,0.8541814211,0.5153779175,0.04301070413 0 0 0 0 0 0 0.04301070413 0 0 0 0 0 0 0.0944887485 0 0 0 0 0 0 0.0007545885836 0 0 0 0 0 0 0.0007545885836 0 0 0 0 0 0 0.001310180971
62,1785495435.951189041,map,7.8720469475,-4.1956338882,-1.1624494791,0.0355794587,0.0590066083,0.8534954785,0.5165247509,0.04280850286 0 0 0 0 0 0 0.04280850286 0 0 0 0 0 0 0.0941889344 0 0 0 0 0 0 0.0007499159093 0 0 0 0 0 0 0.0007499159093 0 0 0 0 0 0 0.001304021569
63,1785495436.051346064,map,7.8645000458,-4.1587772369,-1.1638424397,0.0353506428,0.0594492184,0.8535945852,0.5163258572,0.04266801384 0 0 0 0 0 0 0.04266801384 0 0 0 0 0 0 0.09398048839 0 0 0 0 0 0 0.000746671413 0 0 0 0 0 0 0.000746671413 0 0 0 0 0 0 0.001299742028
64,1785495436.151390076,map,7.8620705605,-4.1598925591,-1.1588634253,0.0352672117,0.0593829876,0.8538517952,0.5159136947,0.04316845912 0 0 0 0 0 0 0.04316845912 0 0 0 0 0 0 0.09472250062 0 0 0 0 0 0 0.0007582365732 0 0 0 0 0 0 0.0007582365732 0 0 0 0 0 0 0.001314986463
65,1785495436.251375914,map,7.8634848595,-4.1579318047,-1.1599802971,0.0350943511,0.0593702340,0.8539201244,0.5158139013,0.04309611589 0 0 0 0 0 0 0.04309611589 0 0 0 0 0 0 0.09461532392 0 0 0 0 0 0 0.0007565634164 0 0 0 0 0 0 0.0007565634164 0 0 0 0 0 0 0.001312782763
66,1785495436.351551056,map,7.8623108864,-4.1492681503,-1.1597126722,0.0353465883,0.0593027086,0.8539814245,0.5157029787,0.04516890846 0 0 0 0 0 0 0.04516890846 0 0 0 0 0 0 0.09767486496 0 0 0 0 0 0 0.0008046752501 0 0 0 0 0 0 0.0008046752501 0 0 0 0 0 0 0.001375923635
67,1785495436.450613022,map,7.8711767197,-4.1535391808,-1.1601250172,0.0351658120,0.0592443150,0.8541077474,0.5155128155,0.04279828404 0 0 0 0 0 0 0.04279828404 0 0 0 0 0 0 0.09417377632 0 0 0 0 0 0 0.0007496798554 0 0 0 0 0 0 0.0007496798554 0 0 0 0 0 0 0.001303710286
68,1785495436.550844908,map,7.8770122528,-4.1604714394,-1.1617699862,0.0353003425,0.0591679724,0.8543247854,0.5151526281,0.04313802309 0 0 0 0 0 0 0.04313802309 0 0 0 0 0 0 0.09467741312 0 0 0 0 0 0 0.0007575325934 0 0 0 0 0 0 0.0007575325934 0 0 0 0 0 0 0.001314059329
69,1785495436.651091099,map,7.8796553612,-4.1579294205,-1.1617635489,0.0352517961,0.0591523571,0.8544019446,0.5150297515,0.04357985601 0 0 0 0 0 0 0.04357985601 0 0 0 0 0 0 0.0953314337 0 0 0 0 0 0 0.0007677597905 0 0 0 0 0 0 0.0007677597905 0 0 0 0 0 0 0.001327518329
70,1785495436.750401974,map,7.8743066788,-4.1516051292,-1.1615356207,0.0353136060,0.0589567144,0.8543569110,0.5151226530,0.04316753727 0 0 0 0 0 0 0.04316753727 0 0 0 0 0 0 0.09472113508 0 0 0 0 0 0 0.0007582152497 0 0 0 0 0 0 0.0007582152497 0 0 0 0 0 0 0.001314958382
71,1785495436.850744963,map,7.8765439987,-4.1535811424,-1.1610434055,0.0350056903,0.0592806373,0.8543115699,0.5151816326,0.04332979914 0 0 0 0 0 0 0.04332979914 0 0 0 0 0 0 0.09496142133 0 0 0 0 0 0 0.0007619696499 0 0 0 0 0 0 0.0007619696499 0 0 0 0 0 0 0.001319901162
72,1785495436.950962067,map,7.8736371994,-4.1459574699,-1.1613122225,0.0349272900,0.0591904640,0.8543710824,0.5150986210,0.04357038813 0 0 0 0 0 0 0.04357038813 0 0 0 0 0 0 0.09531743025 0 0 0 0 0 0 0.0007675404635 0 0 0 0 0 0 0.0007675404635 0 0 0 0 0 0 0.001327229921
73,1785495437.050416946,map,7.8704991341,-4.1379132271,-1.1592811346,0.0348286941,0.0591793712,0.8543174333,0.5151955738,0.04279874015 0 0 0 0 0 0 0.04279874015 0 0 0 0 0 0 0.09417445291 0 0 0 0 0 0 0.0007496903914 0 0 0 0 0 0 0.0007496903914 0 0 0 0 0 0 0.00130372418
74,1785495437.150521994,map,7.8667545319,-4.1356134415,-1.1601926088,0.0349395085,0.0593568604,0.8544296214,0.5149815547,0.04315707992 0 0 0 0 0 0 0.04315707992 0 0 0 0 0 0 0.09470564424 0 0 0 0 0 0 0.0007579733651 0 0 0 0 0 0 0.0007579733651 0 0 0 0 0 0 0.001314639833
75,1785495437.250828028,map,7.8656258583,-4.1346449852,-1.1577649117,0.0349809376,0.0594816847,0.8542938221,0.5151895794,0.04343706808 0 0 0 0 0 0 0.04343706808 0 0 0 0 0 0 0.09512019084 0 0 0 0 0 0 0.0007644528499 0 0 0 0 0 0 0.0007644528499 0 0 0 0 0 0 0.00132316876
76,1785495437.350404024,map,7.8615360260,-4.1348013878,-1.1615129709,0.0354541619,0.0594898749,0.8542897073,0.5151631932,0.04302830176 0 0 0 0 0 0 0.04302830176 0 0 0 0 0 0 0.09451483055 0 0 0 0 0 0 0.0007549954133 0 0 0 0 0 0 0.0007549954133 0 0 0 0 0 0 0.001310717026
77,1785495437.450459003,map,7.8638663292,-4.1255035400,-1.1620900631,0.0357592249,0.0594964509,0.8542914984,0.5151383386,0.04321159353 0 0 0 0 0 0 0.04321159353 0 0 0 0 0 0 0.09478639047 0 0 0 0 0 0 0.0007592343988 0 0 0 0 0 0 0.0007592343988 0 0 0 0 0 0 0.001316300413
78,1785495437.550647020,map,7.8648309708,-4.1280040741,-1.1631520987,0.0356496460,0.0594161651,0.8542491631,0.5152253567,0.04331685823 0 0 0 0 0 0 0.04331685823 0 0 0 0 0 0 0.09494226308 0 0 0 0 0 0 0.0007616701425 0 0 0 0 0 0 0.0007616701425 0 0 0 0 0 0 0.001319506959
79,1785495437.649825096,map,7.8687152863,-4.1224522591,-1.1616234779,0.0353348579,0.0591733660,0.8541192391,0.5154903698,0.04289706815 0 0 0 0 0 0 0.04289706815 0 0 0 0 0 0 0.09432028297 0 0 0 0 0 0 0.0007519621357 0 0 0 0 0 0 0.0007519621357 0 0 0 0 0 0 0.001306719422
80,1785495437.750036955,map,7.8618407249,-4.1235857010,-1.1616883278,0.0358303897,0.0591130936,0.8540603448,0.5155606374,0.0428935791 0 0 0 0 0 0 0.0428935791 0 0 0 0 0 0 0.09431510929 0 0 0 0 0 0 0.0007518815113 0 0 0 0 0 0 0.0007518815113 0 0 0 0 0 0 0.001306613139
81,1785495437.850322008,map,7.8602929115,-4.1216502190,-1.1608500481,0.0356802013,0.0592799800,0.8540037392,0.5156456553,0.0432545217 0 0 0 0 0 0 0.0432545217 0 0 0 0 0 0 0.09484996458 0 0 0 0 0 0 0.0007602276103 0 0 0 0 0 0 0.0007602276103 0 0 0 0 0 0 0.00131760808
82,1785495437.950532913,map,7.8533492088,-4.1369991302,-1.1606023312,0.0357408528,0.0595161952,0.8540269382,0.5155757967,0.04315179749 0 0 0 0 0 0 0.04315179749 0 0 0 0 0 0 0.09469781895 0 0 0 0 0 0 0.0007578511828 0 0 0 0 0 0 0.0007578511828 0 0 0 0 0 0 0.001314478921
