message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.8200000000,-4.1100000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8420553207,-4.0972304344,-1.1599336863,0.0361056073,0.0596478534,0.8545727039,0.5146299572,0.0429742146 0 0 0 0 0 0 0.0429742146 0 0 0 0 0 0 0.09443466062 0 0 0 0 0 0 0.0007537450874 0 0 0 0 0 0 0.0007537450874 0 0 0 0 0 0 0.001309069437
2,1785495429.152035952,map,7.8437461853,-4.1142725945,-1.1620337963,0.0364790045,0.0589981680,0.8541015562,0.5154600602,0.04292391128 0 0 0 0 0 0 0.04292391128 0 0 0 0 0 0 0.09436008451 0 0 0 0 0 0 0.0007525824566 0 0 0 0 0 0 0.0007525824566 0 0 0 0 0 0 0.00130753711
3,1785495429.351785898,map,7.8519983292,-4.1237664223,-1.1608296633,0.0366501767,0.0600736468,0.8545949497,0.5145050370,0.04294794785 0 0 0 0 0 0 0.04294794785 0 0 0 0 0 0 0.09439572118 0 0 0 0 0 0 0.0007531379725 0 0 0 0 0 0 0.0007531379725 0 0 0 0 0 0 0.001308269306
4,1785495429.552469015,map,7.8306760788,-4.1264829636,-1.1575186253,0.0359849535,0.0592668846,0.8535953678,0.5163017297,0.04332159108 0 0 0 0 0 0 0.04332159108 0 0 0 0 0 0 0.09494926989 0 0 0 0 0 0 0.000761779679 0 0 0 0 0 0 0.000761779679 0 0 0 0 0 0 0.00131965113
5,1785495429.751981974,map,7.8146419525,-4.1015186310,-1.1584725380,0.0371239869,0.0592521388,0.8542738924,0.5150990332,0.04301209845 0 0 0 0 0 0 0.04301209845 0 0 0 0 0 0 0.09449081514 0 0 0 0 0 0 0.0007546208172 0 0 0 0 0 0 0.0007546208172 0 0 0 0 0 0 0.001310223445
6,1785495430.051863909,map,7.8379416466,-4.1255469322,-1.1600978374,0.0358360616,0.0594363821,0.8542322732,0.5152381255,0.04301305228 0 0 0 0 0 0 0.04301305228 0 0 0 0 0 0 0.09449222888 0 0 0 0 0 0 0.0007546428678 0 0 0 0 0 0 0.0007546428678 0 0 0 0 0 0 0.0013102525
7,1785495430.152066946,map,7.8417363167,-4.1289172173,-1.1586925983,0.0356985278,0.0592158094,0.8541581293,0.5153959661,0.04319788632 0 0 0 0 0 0 0.04319788632 0 0 0 0 0 0 0.09476608874 0 0 0 0 0 0 0.0007589172936 0 0 0 0 0 0 0.0007589172936 0 0 0 0 0 0 0.001315882867
8,1785495430.251229048,map,7.8491191864,-4.1309304237,-1.1593137980,0.0355624329,0.0592814209,0.8540787653,0.5155293492,0.04309939724 0 0 0 0 0 0 0.04309939724 0 0 0 0 0 0 0.09462018589 0 0 0 0 0 0 0.000756639298 0 0 0 0 0 0 0.000756639298 0 0 0 0 0 0 0.001312882718
9,1785495430.351475954,map,7.8491296768,-4.1320357323,-1.1584950686,0.0354779974,0.0591763952,0.8541724613,0.5153919763,0.0431466734 0 0 0 0 0 0 0.0431466734 0 0 0 0 0 0 0.09469022808 0 0 0 0 0 0 0.0007577326654 0 0 0 0 0 0 0.0007577326654 0 0 0 0 0 0 0.001314322832
10,1785495430.451785088,map,7.8483510017,-4.1311869621,-1.1609756947,0.0353736384,0.0590463336,0.8541061186,0.5155239873,0.04324071017 0 0 0 0 0 0 0.04324071017 0 0 0 0 0 0 0.09482951162 0 0 0 0 0 0 0.0007599080414 0 0 0 0 0 0 0.0007599080414 0 0 0 0 0 0 0.001317187356
11,1785495430.552309036,map,7.8491101265,-4.1308279037,-1.1597994566,0.0356910844,0.0592485866,0.8541116808,0.5154696866,0.04312520425 0 0 0 0 0 0 0.04312520425 0 0 0 0 0 0 0.09465842192 0 0 0 0 0 0 0.0007572361196 0 0 0 0 0 0 0.0007572361196 0 0 0 0 0 0 0.001313668845
12,1785495430.652524948,map,7.8502573967,-4.1321244240,-1.1602725983,0.0357379367,0.0592942702,0.8540827271,0.5155091445,0.04330312998 0 0 0 0 0 0 0.04330312998 0 0 0 0 0 0 0.09492193822 0 0 0 0 0 0 0.0007613524283 0 0 0 0 0 0 0.0007613524283 0 0 0 0 0 0 0.001319088772
13,1785495430.751563072,map,7.8525657654,-4.1346349716,-1.1607365608,0.0353025204,0.0590780790,0.8541408057,0.5154677064,0.0428279559 0 0 0 0 0 0 0.0428279559 0 0 0 0 0 0 0.09421778841 0 0 0 0 0 0 0.0007503652976 0 0 0 0 0 0 0.0007503652976 0 0 0 0 0 0 0.001304614142
14,1785495430.851839066,map,7.8499751091,-4.1352314949,-1.1610394716,0.0354402108,0.0592747849,0.8541525861,0.5154162331,0.04311444686 0 0 0 0 0 0 0.04311444686 0 0 0 0 0 0 0.09464248407 0 0 0 0 0 0 0.0007569873337 0 0 0 0 0 0 0.0007569873337 0 0 0 0 0 0 0.001313341156
