time_sec,cpu_ticks,rss_kb
1789400704.679131101,104,83316
1789400706.697113963,215,119544
1789400708.719089314,366,114984
1789400710.734754657,510,127064
1789400712.748631696,649,142184
1789400714.774944661,794,159080
1789400716.799495562,929,161424
1789400718.817225015,1066,162756
1789400720.832118781,1203,165924
1789400722.847391513,1341,165924
1789400724.869331121,1479,167560
1789400726.891089591,1621,172008
1789400728.909031353,1767,177492
1789400730.924106321,1909,163988
1789400732.935941100,2053,163940
1789400734.960234462,2197,168916
1789400736.983827568,2339,175324
1789400739.003828785,2480,177860
1789400741.018901463,2621,177068
1789400743.033196603,2759,175640
1789400745.049992862,2893,175640
1789400747.075245368,3027,175640
1789400749.094189287,3165,175640
1789400751.115308193,3300,175640
1789400753.128997947,3436,175640
1789400755.144686693,3573,175640
1789400757.163515795,3712,175640
1789400759.184135833,3849,175640
1789400761.203903356,3988,176752
1789400763.218717115,4126,165684
1789400765.232213320,4269,181744
1789400767.244614970,4410,172400
1789400769.263202360,4533,192332
1789400771.286176681,4663,192332
1789400773.304197362,4785,194708
1789400775.322289649,4911,167784
1789400777.334756639,5044,167784
1789400779.350964535,5183,174172
1789400781.373322045,5321,183092
1789400783.397613041,5461,186552
1789400785.418862160,5596,193072
1789400787.437088056,5736,193072
1789400789.454578035,5873,177324
1789400791.477500310,6013,186932
1789400793.497951339,6158,187764
1789400795.514615940,6293,191460
1789400797.528229347,6426,191460
1789400799.539147835,6563,173632
1789400801.560308933,6702,187188
1789400803.583168164,6843,189300
1789400805.602322463,6981,187588
1789400807.621406063,7115,173592
1789400809.642450120,7254,173560
1789400811.656330204,7395,185700
1789400813.676843274,7531,183112
1789400815.697060211,7671,186016
1789400817.716674179,7811,172992
1789400819.730495576,7953,172968
1789400821.742525149,8092,173784
1789400823.761493232,8212,190916
1789400825.779574770,8275,193292
1789400827.803096186,8292,193292
1789400829.824763795,8309,193292
1789400831.846556565,8326,193292
1789400833.867470883,8343,193292
1789400835.889681614,8359,193292
1789400837.911928740,8376,193292
1789400839.932863412,8393,193292
1789400841.953949674,8410,193292
1789400843.977461747,8427,193292
