time_sec,cpu_ticks,rss_kb
1789399967.912631873,18,54848
1789399969.926309139,153,122376
1789399971.941517175,351,151268
1789399973.954510195,505,151268
1789399975.968258630,660,151268
1789399977.982243169,815,151268
1789399979.999194464,972,151268
1789399982.014119515,1129,151268
1789399984.026965107,1287,151268
1789399986.040121667,1447,151268
1789399988.053680703,1603,151268
1789399990.068017475,1764,153116
1789399992.082591167,1925,153116
1789399994.095557917,2093,153116
1789399996.109131597,2260,154436
1789399998.121897263,2444,154436
1789400000.135688344,2614,154436
1789400002.148390697,2773,155492
1789400004.161984265,2945,155492
1789400006.176106040,3104,155492
1789400008.191251655,3263,155492
1789400010.205875490,3441,155492
1789400012.217283513,3601,155492
1789400014.231324376,3780,155756
1789400016.245689871,3959,155756
1789400018.260802485,4137,155756
1789400020.271805917,4302,155756
1789400022.286049842,4462,155756
1789400024.301714197,4624,155756
1789400026.314903199,4791,155756
1789400028.326906906,4965,155756
1789400030.340689053,5135,155756
1789400032.353977648,5303,155756
1789400034.368209043,5466,155756
1789400036.386627111,5628,155756
1789400038.402864794,5785,155756
1789400040.414870842,5941,155756
1789400042.427978035,6098,155756
1789400044.442064848,6256,155756
1789400046.454390267,6414,155756
1789400048.470070521,6569,155756
1789400050.483169768,6723,155756
1789400052.499349472,6881,155756
1789400054.512980320,7037,155756
1789400056.525883210,7191,155756
1789400058.538606190,7346,155756
1789400060.552120279,7500,155756
1789400062.565144655,7655,155756
1789400064.577969405,7809,155756
1789400066.596072372,7964,155756
1789400068.608535716,8120,155756
1789400070.622375617,8275,155756
1789400072.636916193,8431,155756
1789400074.649592727,8586,155756
1789400076.664639202,8741,155756
1789400078.682436803,8907,155756
1789400080.696524748,9077,155756
1789400082.708678055,9257,156284
1789400084.720227460,9419,156284
1789400086.733165503,9573,156284
1789400088.753119759,9671,156284
1789400090.773806803,9671,156284
1789400092.794807084,9671,156284
1789400094.814477660,9671,156284
1789400096.833104521,9671,156284
1789400098.853958508,9671,156284
