time_sec,cpu_ticks,rss_kb
1789398695.748348324,105,82968
1789398697.761935435,223,139660
1789398699.781156941,384,126292
1789398701.795300849,536,133832
1789398703.810948786,687,171608
1789398705.827030195,839,162756
1789398707.842799443,993,150156
1789398709.859487313,1148,169744
1789398711.877443791,1303,180764
1789398713.893844973,1456,181564
1789398715.910584108,1599,183412
1789398717.924334925,1739,183412
1789398719.944044011,1885,185260
1789398721.962743914,2029,187024
1789398723.975986158,2181,173036
1789398725.989523669,2330,171568
1789398728.003971612,2484,156004
1789398730.018249061,2634,188264
1789398732.034202767,2786,175812
1789398734.061240176,2938,181280
1789398736.078320254,3088,162536
1789398738.092630417,3244,162536
1789398740.104171019,3397,162708
1789398742.116504456,3549,162540
1789398744.131003814,3703,162540
1789398746.152758751,3858,187260
1789398748.170008770,4010,192804
1789398750.184789612,4165,162496
1789398752.197587358,4320,162496
1789398754.212681233,4474,175096
1789398756.226968715,4627,162756
1789398758.244724101,4782,178068
1789398760.258428650,4935,187312
1789398762.277792046,5081,183864
1789398764.296160856,5234,193416
1789398766.309613680,5391,162384
1789398768.323577902,5546,163760
1789398770.351188797,5698,183784
1789398772.365230600,5854,198320
1789398774.377700637,6009,167412
1789398776.390097754,6161,162604
1789398778.404647866,6315,162604
1789398780.418259525,6467,162360
1789398782.437665837,6621,167372
1789398784.457156734,6776,185596
1789398786.476127191,6931,192772
1789398788.491271968,7087,163268
1789398790.502386809,7242,163276
1789398792.514551162,7396,163276
1789398794.528783104,7549,164756
1789398796.544068014,7703,171884
1789398798.570578801,7858,178380
1789398800.586489073,8016,162540
1789398802.598916194,8171,164236
1789398804.612257405,8325,182188
1789398806.629500314,8477,183504
1789398808.650281178,8626,185880
1789398810.667824588,8777,192900
1789398812.681794225,8931,192900
1789398814.694095077,9085,164288
1789398816.711629721,9180,164288
1789398818.733241008,9196,164288
1789398820.754969043,9213,164288
1789398822.775864292,9230,164288
1789398824.796116034,9247,164288
1789398826.818575400,9264,164288
1789398828.838495777,9281,164288
1789398830.858111718,9299,164288
1789398832.880377843,9316,164288
1789398834.900915729,9332,164288
