time_sec,cpu_ticks,rss_kb
1789400552.578377444,18,54916
1789400554.594408308,143,120688
1789400556.610043536,326,153048
1789400558.624183498,464,153312
1789400560.639901971,600,153312
1789400562.652919631,734,153312
1789400564.666013502,870,153312
1789400566.681572530,1006,153312
1789400568.695621888,1140,153312
1789400570.713275998,1272,153312
1789400572.727787519,1414,153312
1789400574.742888953,1556,153312
1789400576.756323504,1700,154104
1789400578.773381908,1849,154104
1789400580.792409297,1995,154104
1789400582.805912376,2142,154104
1789400584.822318091,2283,154104
1789400586.835761906,2427,154368
1789400588.855135294,2572,154368
1789400590.879229444,2714,154368
1789400592.901882681,2857,154368
1789400594.917332317,3004,154368
1789400596.932108842,3148,154368
1789400598.946883426,3296,154368
1789400600.965317890,3442,154368
1789400602.977812819,3592,154368
1789400604.991118408,3737,154368
1789400607.005385466,3882,154368
1789400609.020719206,4025,154368
1789400611.035024485,4173,154368
1789400613.048591147,4320,154368
1789400615.066658929,4467,154368
1789400617.083761255,4617,154368
1789400619.097909250,4765,154368
1789400621.118042843,4906,154368
1789400623.141687840,5046,154368
1789400625.156328942,5191,154368
1789400627.168708992,5333,154368
1789400629.183576199,5472,154368
1789400631.197758923,5612,154368
1789400633.219312882,5751,154368
1789400635.244085903,5891,154368
1789400637.265895403,6032,154368
1789400639.286040685,6172,154368
1789400641.305762207,6314,154368
1789400643.320217070,6453,154368
1789400645.333233783,6592,154368
1789400647.345912489,6731,154368
1789400649.359690535,6871,154368
1789400651.373239464,7009,154368
1789400653.388388479,7151,154368
1789400655.407122680,7289,154368
1789400657.430691998,7428,154368
1789400659.451919999,7572,154368
1789400661.468096653,7711,154368
1789400663.486068229,7859,154368
1789400665.501211595,8010,154368
1789400667.518776928,8160,154368
1789400669.532749313,8308,154368
1789400671.546363908,8448,154368
1789400673.566011200,8524,154368
1789400675.587212784,8524,154368
1789400677.607005485,8524,154368
1789400679.627441473,8525,154368
1789400681.646825364,8525,154368
1789400683.665418840,8525,154368
