time_sec,cpu_ticks,rss_kb
1789168332.222505063,27,131336
1789168334.235950144,146,197404
1789168336.251059747,346,247648
1789168338.265573321,544,238400
1789168340.277225289,730,238400
1789168342.291309590,917,238400
1789168344.304834408,1103,238400
1789168346.318294366,1287,238400
1789168348.333196319,1472,238400
1789168350.344239833,1660,238400
1789168352.358543812,1860,238400
1789168354.371676658,2059,246320
1789168356.386138763,2259,247376
1789168358.401717870,2459,250016
1789168360.414165486,2659,250016
1789168362.428885918,2859,250016
1789168364.442069711,3059,237344
1789168366.456849197,3258,242164
1789168368.468091208,3457,242164
1789168370.480760560,3657,242164
1789168372.494588516,3857,246652
1789168374.507555006,4056,246652
1789168376.520349184,4256,250348
1789168378.534082958,4456,242184
1789168380.548314120,4655,242184
1789168382.561540967,4855,242184
1789168384.574767281,5055,246140
1789168386.586743776,5255,249308
1789168388.601523074,5454,249308
1789168390.615173804,5654,253004
1789168392.631055526,5854,249624
1789168394.645398887,6054,250680
1789168396.658842608,6254,253316
1789168398.670628639,6453,253316
1789168400.682519322,6653,253316
1789168402.698662989,6853,253316
1789168404.713610729,7052,253316
1789168406.726641418,7252,253316
1789168408.739105911,7452,253316
1789168410.751219279,7652,253316
1789168412.766879358,7851,253316
1789168414.781829527,8051,253316
1789168416.795142489,8251,253316
1789168418.807205925,8451,253316
1789168420.819773823,8651,253316
1789168422.833428299,8850,253316
1789168424.845188063,9049,253316
1789168426.858573861,9249,253316
1789168428.871290040,9449,253316
1789168430.884840572,9648,253316
1789168432.897980045,9849,253316
1789168434.910756876,10047,253316
1789168436.925145279,10248,253316
1789168438.939324544,10448,253316
1789168440.951223882,10647,253316
1789168442.966977006,10847,253316
1789168444.981667999,11047,253316
1789168446.993923002,11247,253580
1789168449.007595624,11447,253580
1789168451.022923595,11646,253580
1789168453.044953805,11784,241128
1789168455.068173859,11784,241128
1789168457.087683713,11785,241128
1789168459.107849072,11785,241128
1789168461.128292402,11785,241128
1789168463.150428680,11786,241128
