message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
16,1785497059.605641365,map,8.3986778259,-3.8115396500,-1.3925416470,0.0485599417,0.0581571255,0.8517258718,0.5184811326,0.04288296762 0 0 0 0 0 0 0.04288296762 0 0 0 0 0 0 0.09429937384 0 0 0 0 0 0 0.0007516363097 0 0 0 0 0 0 0.0007516363097 0 0 0 0 0 0 0.001306289895
17,1785497059.705504417,map,8.3996009827,-3.8139410019,-1.3921912909,0.0485937333,0.0581432433,0.8517406556,0.5184552157,0.04304266216 0 0 0 0 0 0 0.04304266216 0 0 0 0 0 0 0.09453611328 0 0 0 0 0 0 0.0007553274226 0 0 0 0 0 0 0.0007553274226 0 0 0 0 0 0 0.001311154469
18,1785497059.805650949,map,8.4007902145,-3.8211410046,-1.3914343119,0.0486989286,0.0581400160,0.8516884431,0.5185315617,0.04287068076 0 0 0 0 0 0 0.04287068076 0 0 0 0 0 0 0.09428115324 0 0 0 0 0 0 0.000751352407 0 0 0 0 0 0 0.000751352407 0 0 0 0 0 0 0.001305915616
19,1785497059.905936241,map,8.3984394073,-3.8258554935,-1.3921943903,0.0487665956,0.0582628838,0.8516566035,0.5185636674,0.04277326682 0 0 0 0 0 0 0.04277326682 0 0 0 0 0 0 0.09413666456 0 0 0 0 0 0 0.0007491019976 0 0 0 0 0 0 0.0007491019976 0 0 0 0 0 0 0.001302948217
20,1785497060.005677700,map,8.3972797394,-3.8284842968,-1.3927042484,0.0487010158,0.0583713962,0.8516282064,0.5186042475,0.04298813864 0 0 0 0 0 0 0.04298813864 0 0 0 0 0 0 0.09445530089 0 0 0 0 0 0 0.0007540669437 0 0 0 0 0 0 0.0007540669437 0 0 0 0 0 0 0.001309493587
21,1785497060.105610609,map,8.3987970352,-3.8262426853,-1.3922176361,0.0486261693,0.0582990374,0.8516496278,0.5185842919,0.0430169851 0 0 0 0 0 0 0.0430169851 0 0 0 0 0 0 0.09449805795 0 0 0 0 0 0 0.0007547337869 0 0 0 0 0 0 0.0007547337869 0 0 0 0 0 0 0.001310372301
22,1785497060.205538273,map,8.3980798721,-3.8226757050,-1.3914017677,0.0488076984,0.0583662750,0.8516404092,0.5185747879,0.04290083493 0 0 0 0 0 0 0.04290083493 0 0 0 0 0 0 0.09432586838 0 0 0 0 0 0 0.0007520491788 0 0 0 0 0 0 0.0007520491788 0 0 0 0 0 0 0.001306834164
23,1785497060.305945158,map,8.3961973190,-3.8210947514,-1.3922985792,0.0488112608,0.0583090613,0.8516249241,0.5186063162,0.04287485294 0 0 0 0 0 0 0.04287485294 0 0 0 0 0 0 0.0942873404 0 0 0 0 0 0 0.0007514488087 0 0 0 0 0 0 0.0007514488087 0 0 0 0 0 0 0.001306042708
24,1785497060.405777693,map,8.3992500305,-3.8228249550,-1.3919324875,0.0486083669,0.0584370510,0.8516472627,0.5185743066,0.04286600483 0 0 0 0 0 0 0.04286600483 0 0 0 0 0 0 0.09427421892 0 0 0 0 0 0 0.0007512443673 0 0 0 0 0 0 0.0007512443673 0 0 0 0 0 0 0.001305773179
25,1785497060.505597591,map,8.3945827484,-3.8240573406,-1.3917175531,0.0486692572,0.0585263405,0.8516625557,0.5185333434,0.04297761192 0 0 0 0 0 0 0.04297761192 0 0 0 0 0 0 0.09443969673 0 0 0 0 0 0 0.0007538236154 0 0 0 0 0 0 0.0007538236154 0 0 0 0 0 0 0.001309172925
26,1785497060.605550289,map,8.4162645340,-3.7291018963,-1.3984278440,0.0490595792,0.0581499485,0.8523068875,0.5174792285,0.04327360308 0 0 0 0 0 0 0.04327360308 0 0 0 0 0 0 0.09487821968 0 0 0 0 0 0 0.0007606691382 0 0 0 0 0 0 0.0007606691382 0 0 0 0 0 0 0.001318189331
27,1785497060.705601454,map,8.4091367722,-3.7870385647,-1.3934584856,0.0486584718,0.0581784540,0.8519574430,0.5180889704,0.04286705149 0 0 0 0 0 0 0.04286705149 0 0 0 0 0 0 0.0942757711 0 0 0 0 0 0 0.0007512685506 0 0 0 0 0 0 0.0007512685506 0 0 0 0 0 0 0.001305805062
28,1785497060.806074619,map,8.4067268372,-3.7947957516,-1.3940147161,0.0486403141,0.0581717183,0.8518975417,0.5181898569,0.04282512168 0 0 0 0 0 0 0.04282512168 0 0 0 0 0 0 0.09421358465 0 0 0 0 0 0 0.0007502998218 0 0 0 0 0 0 0.0007502998218 0 0 0 0 0 0 0.001304527807
