time_sec,cpu_ticks,rss_kb
1789402446.773909985,18,54916
1789402448.787233076,150,110240
1789402450.802670757,350,147460
1789402452.816747982,515,147268
1789402454.830570036,668,147268
1789402456.845640301,819,147268
1789402458.863281622,970,147268
1789402460.880999634,1120,147268
1789402462.894795436,1273,147268
1789402464.908068553,1426,147268
1789402466.920937956,1598,147268
1789402468.934982613,1774,147268
1789402470.948317293,1964,147268
1789402472.962095950,2139,147268
1789402474.977542070,2326,147532
1789402476.993558435,2505,147532
1789402479.008198441,2696,147532
1789402481.021558341,2871,147532
1789402483.032633043,3018,147532
1789402485.046192625,3168,147532
1789402487.063710106,3316,147532
1789402489.077740467,3460,147532
1789402491.092350545,3611,147532
1789402493.104776316,3758,147532
1789402495.115806688,3905,147532
1789402497.129687244,4052,147532
1789402499.142582469,4199,147532
1789402501.163413469,4348,147532
1789402503.175191450,4519,147532
1789402505.187109095,4681,147532
1789402507.200345923,4839,147532
1789402509.212554733,5000,147532
1789402511.226194085,5163,147532
1789402513.237601610,5325,147532
1789402515.249279226,5487,147532
1789402517.262220316,5649,147532
1789402519.274808154,5821,147532
1789402521.289261400,5969,147532
1789402523.303324372,6113,147532
1789402525.315844426,6260,147532
1789402527.328676395,6408,147532
1789402529.341363906,6559,147532
1789402531.356696612,6704,147532
1789402533.368536149,6851,147532
1789402535.382351396,6999,147532
1789402537.396208772,7146,147532
1789402539.406947303,7295,147532
1789402541.418704642,7438,147532
1789402543.432516280,7587,147532
1789402545.445668913,7735,147532
1789402547.459665189,7883,147532
1789402549.481388543,8028,147532
1789402551.496049093,8175,147532
1789402553.510058669,8323,147532
1789402555.522032444,8471,147532
1789402557.536853937,8617,147532
1789402559.551240771,8762,147532
1789402561.564923481,8911,147532
1789402563.580590027,9055,147532
1789402565.595478275,9205,147532
1789402567.613363197,9300,138980
1789402569.632162607,9300,138980
1789402571.652589320,9300,138980
1789402573.675002941,9301,138980
1789402575.693231985,9301,138980
1789402577.714764639,9301,138980
