message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.8200000000,-4.1100000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8592238426,-4.2462177277,-1.1709017754,0.0331654223,0.0596428274,0.8535636999,0.5164996157,0.04342167753 0 0 0 0 0 0 0.04342167753 0 0 0 0 0 0 0.09509741509 0 0 0 0 0 0 0.00076409651 0 0 0 0 0 0 0.00076409651 0 0 0 0 0 0 0.001322699937
2,1785495429.252379894,map,7.9191412926,-4.2889099121,-1.1825718880,0.0301783371,0.0597344749,0.8532940517,0.5171173636,0.04333393583 0 0 0 0 0 0 0.04333393583 0 0 0 0 0 0 0.09496754525 0 0 0 0 0 0 0.0007620653933 0 0 0 0 0 0 0.0007620653933 0 0 0 0 0 0 0.001320027172
3,1785495429.351785898,map,7.8717260361,-4.2564630508,-1.1691980362,0.0336076037,0.0605356973,0.8534828266,0.5165007192,0.04343889336 0 0 0 0 0 0 0.04343889336 0 0 0 0 0 0 0.0951228919 0 0 0 0 0 0 0.0007644951122 0 0 0 0 0 0 0.0007644951122 0 0 0 0 0 0 0.001323224361
4,1785495429.552469015,map,7.8256564140,-4.2565488815,-1.1621758938,0.0336434705,0.0600594046,0.8533680455,0.5167435665,0.0432435038 0 0 0 0 0 0 0.0432435038 0 0 0 0 0 0 0.09483364869 0 0 0 0 0 0 0.0007599726787 0 0 0 0 0 0 0.0007599726787 0 0 0 0 0 0 0.001317272455
5,1785495429.651681900,map,7.8495683670,-4.2387924194,-1.1659973860,0.0336973944,0.0596728834,0.8535024030,0.5165628805,0.04344149054 0 0 0 0 0 0 0.04344149054 0 0 0 0 0 0 0.0951267352 0 0 0 0 0 0 0.0007645552476 0 0 0 0 0 0 0.0007645552476 0 0 0 0 0 0 0.001323303476
6,1785495429.852205038,map,7.8694210052,-4.2634406090,-1.1691393852,0.0328558540,0.0595383897,0.8533081591,0.5169534476,0.04317442786 0 0 0 0 0 0 0.04317442786 0 0 0 0 0 0 0.09473134201 0 0 0 0 0 0 0.0007583746381 0 0 0 0 0 0 0.0007583746381 0 0 0 0 0 0 0.001315168281
7,1785495429.951565027,map,7.8748292923,-4.2712802887,-1.1706988811,0.0327350287,0.0595276248,0.8532781601,0.5170118581,0.04340590287 0 0 0 0 0 0 0.04340590287 0 0 0 0 0 0 0.09507406955 0 0 0 0 0 0 0.0007637312974 0 0 0 0 0 0 0.0007637312974 0 0 0 0 0 0 0.001322219414
8,1785495430.051863909,map,7.8819475174,-4.2686405182,-1.1724196672,0.0328743328,0.0596393102,0.8532724606,0.5169995943,0.04341294909 0 0 0 0 0 0 0.04341294909 0 0 0 0 0 0 0.09508449771 0 0 0 0 0 0 0.0007638944279 0 0 0 0 0 0 0.0007638944279 0 0 0 0 0 0 0.001322434054
9,1785495430.152066946,map,7.8915162086,-4.2712602615,-1.1758949757,0.0323040408,0.0597096278,0.8533144839,0.5169581028,0.04343285355 0 0 0 0 0 0 0.04343285355 0 0 0 0 0 0 0.09511395408 0 0 0 0 0 0 0.0007643552682 0 0 0 0 0 0 0.0007643552682 0 0 0 0 0 0 0.001323040378
10,1785495430.251229048,map,7.8936476707,-4.2650017738,-1.1742546558,0.0329654834,0.0594447223,0.8532886647,0.5169894271,0.04331155341 0 0 0 0 0 0 0.04331155341 0 0 0 0 0 0 0.09493440935 0 0 0 0 0 0 0.0007615473707 0 0 0 0 0 0 0.0007615473707 0 0 0 0 0 0 0.001319345365
11,1785495430.351475954,map,7.8956127167,-4.2688817978,-1.1748106480,0.0330597612,0.0594952547,0.8533942128,0.5168033631,0.04340373875 0 0 0 0 0 0 0.04340373875 0 0 0 0 0 0 0.09507086668 0 0 0 0 0 0 0.0007636811956 0 0 0 0 0 0 0.0007636811956 0 0 0 0 0 0 0.001322153491
12,1785495430.451785088,map,7.8955221176,-4.2642416954,-1.1768674850,0.0333917480,0.0595112671,0.8534086587,0.5167563410,0.0430768041 0 0 0 0 0 0 0.0430768041 0 0 0 0 0 0 0.09458670851 0 0 0 0 0 0 0.000756116848 0 0 0 0 0 0 0.000756116848 0 0 0 0 0 0 0.001312194492
13,1785495430.552309036,map,7.8959546089,-4.2705545425,-1.1746152639,0.0327183976,0.0598885080,0.8535330832,0.5165502310,0.04323140034 0 0 0 0 0 0 0.04323140034 0 0 0 0 0 0 0.09481572448 0 0 0 0 0 0 0.0007596926415 0 0 0 0 0 0 0.0007596926415 0 0 0 0 0 0 0.001316903763
14,1785495430.652524948,map,7.9018001556,-4.2685327530,-1.1757031679,0.0323724279,0.0596243970,0.8535855940,0.5165158004,0.043707579 0 0 0 0 0 0 0.043707579 0 0 0 0 0 0 0.09552029429 0 0 0 0 0 0 0.0007707192766 0 0 0 0 0 0 0.0007707192766 0 0 0 0 0 0 0.001331408994
15,1785495430.751563072,map,7.9029211998,-4.2711462975,-1.1754318476,0.0320818687,0.0594120910,0.8535206612,0.5166656945,0.04335057457 0 0 0 0 0 0 0.04335057457 0 0 0 0 0 0 0.09499217615 0 0 0 0 0 0 0.0007624505105 0 0 0 0 0 0 0.0007624505105 0 0 0 0 0 0 0.001320534017
16,1785495430.851839066,map,7.9061536789,-4.2680144310,-1.1776728630,0.0322457463,0.0595537038,0.8535028369,0.5166685930,0.04338024732 0 0 0 0 0 0 0.04338024732 0 0 0 0 0 0 0.09503609797 0 0 0 0 0 0 0.0007631373687 0 0 0 0 0 0 0.0007631373687 0 0 0 0 0 0 0.001321437901
17,1785495430.952213049,map,7.9020090103,-4.2650642395,-1.1751313210,0.0325226770,0.0591770967,0.8535585030,0.5166026009,0.04335140755 0 0 0 0 0 0 0.04335140755 0 0 0 0 0 0 0.0949934092 0 0 0 0 0 0 0.0007624697911 0 0 0 0 0 0 0.0007624697911 0 0 0 0 0 0 0.001320559391
18,1785495431.052498102,map,7.9068031311,-4.2634520531,-1.1775722504,0.0323069751,0.0589284423,0.8534296742,0.5168573003,0.04324033839 0 0 0 0 0 0 0.04324033839 0 0 0 0 0 0 0.09482896106 0 0 0 0 0 0 0.0007598994395 0 0 0 0 0 0 0.0007598994395 0 0 0 0 0 0 0.001317176031
19,1785495431.152724028,map,7.9070734978,-4.2671136856,-1.1798071861,0.0326093457,0.0591966681,0.8535171377,0.5166632358,0.04353520094 0 0 0 0 0 0 0.04353520094 0 0 0 0 0 0 0.09526538231 0 0 0 0 0 0 0.000766725404 0 0 0 0 0 0 0.000766725404 0 0 0 0 0 0 0.001326158058
20,1785495431.251972914,map,7.9047751427,-4.2688822746,-1.1786937714,0.0328294794,0.0592881028,0.8535617410,0.5165650800,0.04324861763 0 0 0 0 0 0 0.04324861763 0 0 0 0 0 0 0.0948412216 0 0 0 0 0 0 0.0007600910008 0 0 0 0 0 0 0.0007600910008 0 0 0 0 0 0 0.001317428231
21,1785495431.352257013,map,7.9016828537,-4.2635526657,-1.1772637367,0.0331151139,0.0593357849,0.8536625751,0.5163747005,0.04334435027 0 0 0 0 0 0 0.04334435027 0 0 0 0 0 0 0.09498296229 0 0 0 0 0 0 0.0007623064413 0 0 0 0 0 0 0.0007623064413 0 0 0 0 0 0 0.001320344414
22,1785495431.451512098,map,7.9191298485,-4.2830338478,-1.1788592339,0.0327678055,0.0591649029,0.8539680427,0.5159112035,0.04381126059 0 0 0 0 0 0 0.04381126059 0 0 0 0 0 0 0.09567353984 0 0 0 0 0 0 0.0007731226963 0 0 0 0 0 0 0.0007731226963 0 0 0 0 0 0 0.001334567316
23,1785495431.551650047,map,7.9122624397,-4.2794346809,-1.1763061285,0.0326418606,0.0593960545,0.8538855332,0.5160291489,0.04329890454 0 0 0 0 0 0 0.04329890454 0 0 0 0 0 0 0.09491568219 0 0 0 0 0 0 0.0007612546418 0 0 0 0 0 0 0.0007612546418 0 0 0 0 0 0 0.001318960058
24,1785495431.651865959,map,7.8992462158,-4.2786779404,-1.1760244370,0.0329813262,0.0595447791,0.8538937478,0.5159768580,0.04319162604 0 0 0 0 0 0 0.04319162604 0 0 0 0 0 0 0.0947568163 0 0 0 0 0 0 0.0007587724724 0 0 0 0 0 0 0.0007587724724 0 0 0 0 0 0 0.001315692168
25,1785495431.752110004,map,7.8986253738,-4.2786574364,-1.1736849546,0.0330401543,0.0597202573,0.8538931290,0.5159538478,0.04330996661 0 0 0 0 0 0 0.04330996661 0 0 0 0 0 0 0.09493206008 0 0 0 0 0 0 0.0007615106471 0 0 0 0 0 0 0.0007615106471 0 0 0 0 0 0 0.001319297028
26,1785495431.851408005,map,7.8995652199,-4.2723741531,-1.1751394272,0.0331824907,0.0594685580,0.8537831171,0.5161558006,0.04316224995 0 0 0 0 0 0 0.04316224995 0 0 0 0 0 0 0.09471330286 0 0 0 0 0 0 0.0007580929497 0 0 0 0 0 0 0.0007580929497 0 0 0 0 0 0 0.001314797321
27,1785495431.951628923,map,7.9007019997,-4.2668905258,-1.1742639542,0.0329737773,0.0594884856,0.8537787976,0.5161740674,0.0432504377 0 0 0 0 0 0 0.0432504377 0 0 0 0 0 0 0.09484391685 0 0 0 0 0 0 0.0007601331137 0 0 0 0 0 0 0.0007601331137 0 0 0 0 0 0 0.001317483674
28,1785495432.052097082,map,7.9004678726,-4.2607293129,-1.1797395945,0.0332783877,0.0596669034,0.8538141192,0.5160754866,0.04321424158 0 0 0 0 0 0 0.04321424158 0 0 0 0 0 0 0.09479031237 0 0 0 0 0 0 0.0007592956611 0 0 0 0 0 0 0.0007592956611 0 0 0 0 0 0 0.001316381077
29,1785495432.152303934,map,7.9124050140,-4.2737474442,-1.1785275936,0.0318268949,0.0591283523,0.8538556563,0.5161602392,0.04344710092 0 0 0 0 0 0 0.04344710092 0 0 0 0 0 0 0.09513503727 0 0 0 0 0 0 0.0007646851526 0 0 0 0 0 0 0.0007646851526 0 0 0 0 0 0 0.001323474378
30,1785495432.251545906,map,7.9107642174,-4.2680048943,-1.1784682274,0.0323461574,0.0590843507,0.8538857732,0.5160831020,0.04352920716 0 0 0 0 0 0 0.04352920716 0 0 0 0 0 0 0.0952565158 0 0 0 0 0 0 0.0007665865773 0 0 0 0 0 0 0.0007665865773 0 0 0 0 0 0 0.001325975477
31,1785495432.351875067,map,7.9052410126,-4.2717442513,-1.1796864271,0.0326982067,0.0591885370,0.8538045286,0.5161833991,0.0436316555 0 0 0 0 0 0 0.0436316555 0 0 0 0 0 0 0.09540803901 0 0 0 0 0 0 0.000768959879 0 0 0 0 0 0 0.000768959879 0 0 0 0 0 0 0.001329096232
32,1785495432.451059103,map,7.9059329033,-4.2671728134,-1.1773397923,0.0328454371,0.0591359572,0.8537291252,0.5163048106,0.04362732036 0 0 0 0 0 0 0.04362732036 0 0 0 0 0 0 0.09540162843 0 0 0 0 0 0 0.0007688594342 0 0 0 0 0 0 0.0007688594342 0 0 0 0 0 0 0.001328964176
33,1785495432.551098108,map,7.8997621536,-4.2679138184,-1.1791265011,0.0329517389,0.0593129423,0.8535628544,0.5165526398,0.04332325056 0 0 0 0 0 0 0.04332325056 0 0 0 0 0 0 0.09495172667 0 0 0 0 0 0 0.0007618180863 0 0 0 0 0 0 0.0007618180863 0 0 0 0 0 0 0.00131970168
34,1785495432.651318073,map,7.9081897736,-4.2688827515,-1.1792269945,0.0327706229,0.0594516514,0.8535819066,0.5165166875,0.04327992783 0 0 0 0 0 0 0.04327992783 0 0 0 0 0 0 0.09488758474 0 0 0 0 0 0 0.0007608154949 0 0 0 0 0 0 0.0007608154949 0 0 0 0 0 0 0.001318381994
35,1785495432.751388073,map,7.9047956467,-4.2675786018,-1.1794074774,0.0332693949,0.0592924568,0.8534043012,0.5167965728,0.04337057765 0 0 0 0 0 0 0.04337057765 0 0 0 0 0 0 0.09502178538 0 0 0 0 0 0 0.0007629135291 0 0 0 0 0 0 0.0007629135291 0 0 0 0 0 0 0.001321143346
36,1785495432.851555109,map,7.8982663155,-4.2751517296,-1.1762616634,0.0329779787,0.0596231966,0.8533901391,0.5168004870,0.04356841167 0 0 0 0 0 0 0.04356841167 0 0 0 0 0 0 0.0953145069 0 0 0 0 0 0 0.000767494679 0 0 0 0 0 0 0.000767494679 0 0 0 0 0 0 0.001327169715
37,1785495432.951648951,map,7.8593873978,-4.3090267181,-1.1674313545,0.0330349731,0.0594152176,0.8531462237,0.5172234021,0.04344652919 0 0 0 0 0 0 0.04344652919 0 0 0 0 0 0 0.09513419124 0 0 0 0 0 0 0.0007646719143 0 0 0 0 0 0 0.0007646719143 0 0 0 0 0 0 0.001323456962
38,1785495433.051076889,map,7.8530063629,-4.2892804146,-1.1690584421,0.0331888173,0.0597513003,0.8532886799,0.5169397700,0.04356765121 0 0 0 0 0 0 0.04356765121 0 0 0 0 0 0 0.09531338211 0 0 0 0 0 0 0.000767477063 0 0 0 0 0 0 0.000767477063 0 0 0 0 0 0 0.00132714655
39,1785495433.151295900,map,7.8550486565,-4.2822456360,-1.1665896177,0.0331073685,0.0598719329,0.8532405489,0.5170104603,0.04322476011 0 0 0 0 0 0 0.04322476011 0 0 0 0 0 0 0.0948058905 0 0 0 0 0 0 0.000759539012 0 0 0 0 0 0 0.000759539012 0 0 0 0 0 0 0.00131670149
