time_sec,cpu_ticks,rss_kb
1789399821.708178727,17,54896
1789399823.722567205,154,122872
1789399825.736369168,347,151232
1789399827.752886103,502,151232
1789399829.772169623,658,151232
1789399831.784445818,816,151232
1789399833.796131258,970,151232
1789399835.807883656,1125,151232
1789399837.821363867,1279,151232
1789399839.833021748,1440,151232
1789399841.846356403,1595,151232
1789399843.860409865,1756,151232
1789399845.874888724,1915,151232
1789399847.889693215,2084,151232
1789399849.900868752,2253,152024
1789399851.916735904,2437,152024
1789399853.930275802,2607,152024
1789399855.944051217,2767,153872
1789399857.955674037,2937,153872
1789399859.971715314,3097,153872
1789399861.988948187,3254,153872
1789399864.002737754,3430,153872
1789399866.015455519,3590,153872
1789399868.029897738,3766,155192
1789399870.045528918,3945,155192
1789399872.061863766,4123,155192
1789399874.076605225,4287,155192
1789399876.090234323,4450,155192
1789399878.102948797,4614,155192
1789399880.117378432,4782,155192
1789399882.130129136,4956,155192
1789399884.143280678,5122,155192
1789399886.155350305,5288,155192
1789399888.168025029,5450,155192
1789399890.181558420,5612,155192
1789399892.193488120,5769,155192
1789399894.208065922,5926,155192
1789399896.220396928,6081,155192
1789399898.233816550,6238,155192
1789399900.248427659,6393,155192
1789399902.264026626,6548,155192
1789399904.279292403,6704,155192
1789399906.293909183,6860,155192
1789399908.309722848,7016,155192
1789399910.322929027,7174,155192
1789399912.337336052,7327,155192
1789399914.349976680,7483,155192
1789399916.363239074,7638,155192
1789399918.377144894,7794,155192
1789399920.390733470,7950,155192
1789399922.406123812,8107,155192
1789399924.416790319,8263,155192
1789399926.429699916,8420,155192
1789399928.444234011,8572,155192
1789399930.464438366,8730,155192
1789399932.478288703,8896,155192
1789399934.491589033,9063,155192
1789399936.503472178,9244,155192
1789399938.517638848,9404,155192
1789399940.533695993,9559,155192
1789399942.551441331,9655,155192
1789399944.570807153,9655,155192
1789399946.588694889,9655,155192
1789399948.611867286,9655,155192
1789399950.631225824,9655,155192
1789399952.650691869,9655,155192
