message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.5890000000,-3.6666000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8439207077,-4.0978388786,-1.1591626406,0.0359072899,0.0595838830,0.8546339768,0.5145495064,0.04298771809 0 0 0 0 0 0 0.04298771809 0 0 0 0 0 0 0.09445467751 0 0 0 0 0 0 0.0007540572225 0 0 0 0 0 0 0.0007540572225 0 0 0 0 0 0 0.001309480777
2,1785495429.452049017,map,7.8424949646,-4.1384387016,-1.1601802111,0.0359903133,0.0598121624,0.8538398614,0.5158339424,0.04368362874 0 0 0 0 0 0 0.04368362874 0 0 0 0 0 0 0.09548488649 0 0 0 0 0 0 0.0007701642183 0 0 0 0 0 0 0.0007701642183 0 0 0 0 0 0 0.001330679427
3,1785495429.852205038,map,7.8545866013,-4.1322684288,-1.1612561941,0.0354990523,0.0593681216,0.8541601163,0.5153889405,0.04303192467 0 0 0 0 0 0 0.04303192467 0 0 0 0 0 0 0.09452019996 0 0 0 0 0 0 0.0007550791724 0 0 0 0 0 0 0.0007550791724 0 0 0 0 0 0 0.001310827386
4,1785495430.051863909,map,7.8381013870,-4.1217556000,-1.1598408222,0.0358716422,0.0593942071,0.8541572816,0.5153647619,0.0430077033 0 0 0 0 0 0 0.0430077033 0 0 0 0 0 0 0.0944843007 0 0 0 0 0 0 0.0007545192118 0 0 0 0 0 0 0.0007545192118 0 0 0 0 0 0 0.001310089561
5,1785495430.251229048,map,7.8503680229,-4.1227407455,-1.1596709490,0.0356608578,0.0593596333,0.8539843239,0.5156699941,0.04309856587 0 0 0 0 0 0 0.04309856587 0 0 0 0 0 0 0.09461895405 0 0 0 0 0 0 0.0007566200723 0 0 0 0 0 0 0.0007566200723 0 0 0 0 0 0 0.001312857393
6,1785495430.552309036,map,7.8494505882,-4.1241273880,-1.1599403620,0.0358628667,0.0593115053,0.8540723075,0.5155158000,0.04312169675 0 0 0 0 0 0 0.04312169675 0 0 0 0 0 0 0.09465322538 0 0 0 0 0 0 0.0007571550006 0 0 0 0 0 0 0.0007571550006 0 0 0 0 0 0 0.001313562
7,1785495430.652524948,map,7.8501405716,-4.1276612282,-1.1606922150,0.0357972423,0.0593706405,0.8540648135,0.5155259239,0.04330285574 0 0 0 0 0 0 0.04330285574 0 0 0 0 0 0 0.0949215322 0 0 0 0 0 0 0.0007613460817 0 0 0 0 0 0 0.0007613460817 0 0 0 0 0 0 0.001319080419
8,1785495430.751563072,map,7.8516726494,-4.1298909187,-1.1605170965,0.0353787685,0.0590826942,0.8541305947,0.5154789805,0.04282940058 0 0 0 0 0 0 0.04282940058 0 0 0 0 0 0 0.09421993118 0 0 0 0 0 0 0.0007503986728 0 0 0 0 0 0 0.0007503986728 0 0 0 0 0 0 0.00130465815
9,1785495430.851839066,map,7.8500075340,-4.1328783035,-1.1608098745,0.0354763457,0.0592911480,0.8541092439,0.5154836490,0.04311461891 0 0 0 0 0 0 0.04311461891 0 0 0 0 0 0 0.09464273898 0 0 0 0 0 0 0.0007569913126 0 0 0 0 0 0 0.0007569913126 0 0 0 0 0 0 0.001313346397
