stamp_sec,recv_wall_sec,accepted_gap_sec,x,y,z,qx,qy,qz,qw
1785495427.853138924,1789399182.748332,0.000000,-0.010879565481500517,-0.024639498835012243,-0.003441829621751602,-0.01878816001687738,0.0024622565723261465,0.00027945273036236577,0.9998204159957546
1785495427.953464031,1789399182.752950,0.100325,-0.011813938757517687,-0.01608885199201939,-0.004389468000395191,-0.018775069840112183,0.002477541649973656,0.0002838913057089974,0.9998206228847243
1785495428.052647114,1789399182.789663,0.099183,-0.051438530647512026,-0.025868105153378215,-0.004622107213098747,-0.01855849081457742,0.0027503799528320245,0.0005018829309683495,0.9998238674598261
1785495428.152858019,1789399182.882881,0.100211,-0.03418958563548415,-0.01893758731742995,-0.004314342501557322,-0.018399875759749426,0.0026028682426810536,0.000344091279862045,0.9998272607056321
1785495428.253067970,1789399183.008630,0.100210,-0.020005457054097606,-0.02550847630587864,-0.010798468018392293,-0.018592976917152254,0.0025148757544650804,0.00028022007114072013,0.9998239335433061
1785495428.352382898,1789399183.079668,0.099315,-0.01692895349558901,-0.03511794208188307,-0.00511359674953954,-0.0184943037574382,0.0025367756016653493,0.00029119130676334476,0.9998257051635036
1785495428.452474117,1789399183.209526,0.100091,-0.014180284442766821,-0.03315739098681311,-0.0020015896377218456,-0.01842588521319626,0.002205748281025644,0.0004910513931306728,0.9998276753006791
1785495428.552761078,1789399183.283800,0.100287,-0.009463711170111001,-0.024111721960638127,-0.007440061733814063,-0.018277033246089813,0.002242744635235267,0.0003079355808972273,0.9998303982815788
1785495428.651973009,1789399183.410673,0.099212,-0.008561464426060306,-0.016636270266939174,-0.013236281778324754,-0.018367623989195017,0.002037213487978344,0.00039566620992765916,0.9998291472038842
1785495428.752245903,1789399183.494802,0.100273,-0.010610951777063709,-0.024018066332791625,-0.008467373332731787,-0.018488414695707514,0.002086866983367617,0.00037706660027830445,0.9998268256698318
1785495428.852550030,1789399183.612777,0.100304,-0.0014388500285458586,-0.03290258809279212,0.0002098681729489904,-0.01864176867774567,0.002181353820007873,0.00021509088412479768,0.9998238244270782
1785495428.951936007,1789399183.676707,0.099386,-0.006681925420024652,-0.032856614987363725,0.0022678143841003695,-0.018720438946156836,0.0021971174499353188,0.00029830648309245924,0.9998222986380213
1785495429.051964045,1789399183.811889,0.100028,-0.003219694645599347,-0.04938681277475376,-0.0032492219945340906,-0.01870842485115162,0.002327789919282048,0.0001134717778445082,0.9998222658842101
1785495429.152035952,1789399183.881653,0.100072,0.00561458495859489,-0.044567091181244814,-0.0002476720448840175,-0.018618315199214818,0.002414254184445717,8.14148151053723e-05,0.9998237460110174
1785495429.252379894,1789399184.012876,0.100344,-0.012959025228638878,-0.04371670786754396,-0.0006463712217908979,-0.01885592960941686,0.002434443402919451,0.00020928184375875236,0.9998192254627796
1785495429.351785898,1789399184.052238,0.099406,-0.02827151618846057,-0.03795785739765917,-0.004264719135410211,-0.018584772957339797,0.00250533587582703,0.0005235879839342453,0.9998240121950945
1785495429.452049017,1789399184.203395,0.100263,-0.033997001860675675,-0.024659099961353174,-0.0053724528724590215,-0.018534921281938156,0.0028992555247772125,0.0004293818463739023,0.9998239178183849
1785495429.552469015,1789399184.295905,0.100420,-0.02574474498732547,-0.017997921177965878,-0.0023365132558315627,-0.01847205724940258,0.002497425552347805,0.0002337073958420932,0.9998262305758129
1785495429.651681900,1789399184.401675,0.099213,-0.01647292723359638,-0.014511299813850758,-0.0034439829577211922,-0.01847183073482064,0.0025849062945192103,0.00037092054270282073,0.9998259709302932
1785495429.751981974,1789399184.521703,0.100300,0.0029460214800942075,-0.017116131551809487,-0.008542318041877162,-0.01843455192498058,0.0020346095360008554,0.0002774832102468152,0.9998279605324254
1785495429.852205038,1789399184.576076,0.100223,0.004487798547128344,-0.01690139815016299,-0.009486305377479132,-0.018558635848067533,0.002052228222453418,8.000067810658726e-05,0.9998256643008686
1785495429.951565027,1789399184.725688,0.099360,-0.001894752018001128,-0.030617843713178293,-0.008752553205255309,-0.01876270309032932,0.0025073042027905566,7.659838000808178e-06,0.9998208211173168
1785495430.051863909,1789399184.766069,0.100299,-0.0053211818604574634,-0.027297726497183303,-0.008070236889381244,-0.018818718695545238,0.0024096021451615493,3.337370276118098e-05,0.99982000806663
1785495430.152066946,1789399184.915111,0.100203,-0.009500525213338867,-0.02992015667215843,-0.007353244197236208,-0.01845620889749995,0.002094568114325271,6.332722356761784e-05,0.999827473680939
1785495430.251229048,1789399184.955400,0.099162,-0.015055353441000088,-0.022124253105374917,-0.003201321393675516,-0.018712905024288604,0.0023660499510734074,0.00019076909981225796,0.9998220804724867
1785495430.351475954,1789399185.109171,0.100247,-0.013519973849614175,-0.020441167271598674,-0.004556977565803089,-0.01881642115474391,0.002015272790111559,0.0003563584907720533,0.9998208609441667
1785495430.451785088,1789399185.199701,0.100309,-0.003629932921559713,-0.02252228041623589,-0.0051221954958788896,-0.018525661043659367,0.0020708570087520956,0.0003031909426460099,0.9998261946505488
1785495430.552309036,1789399185.313827,0.100524,-0.01756632449812949,-0.01595523887086238,-0.008780869545732595,-0.01878769699332643,0.002335447474153644,0.0005201584084107863,0.9998206326946912
1785495430.652524948,1789399185.373646,0.100216,-0.017146598430738288,-0.015145745973145414,-0.001192071034723463,-0.01868249520061406,0.0023321667660095515,0.000504396674558997,0.9998226197457474
1785495430.751563072,1789399185.547912,0.099038,-0.012048544659458739,0.0011697021487555425,-0.009252026871203689,-0.018334909949429587,0.0022171544588902733,0.000487722727458538,0.9998293241497735
1785495430.851839066,1789399185.600749,0.100276,-0.01295536440786087,-0.006074152162693447,-0.012969217436861968,-0.018386885216921244,0.002617747177002448,0.000293961647060856,0.9998274768370227
1785495430.952213049,1789399185.720508,0.100374,-0.014097793513931624,-0.020735157771273827,-0.0033976729260098426,-0.018566799271143145,0.002363038343694444,0.00042504576093559023,0.9998247393172028
1785495431.052498102,1789399185.775771,0.100285,-0.0076701316631876265,-0.018885221969944757,-0.004849854349152416,-0.018607169062721675,0.002487005068001593,0.00022616432843745312,0.9998237529259643
1785495431.152724028,1789399185.943982,0.100226,0.002639155243247003,-0.008238160151282857,-0.007210466841156393,-0.018739009935677425,0.002045539802199347,0.00029122907416989614,0.9998222744363994
1785495431.251972914,1789399186.002357,0.099249,0.0011215379152794552,-0.004285885711041992,-0.001878567648549434,-0.018657120337999787,0.0022711043322927193,0.00017603067988297835,0.9998233458761627
1785495431.352257013,1789399186.134837,0.100284,-0.005676032586471279,-0.0057534069944561944,-0.005657381008508322,-0.018631062175486098,0.002654964114988774,0.0003175339817231629,0.9998228512391242
1785495431.451512098,1789399186.188399,0.099255,-0.007241571660025634,-0.02438580497510141,-0.003327437819188872,-0.01860928347503703,0.002409666076016149,0.00026993646644335006,0.9998238920991296
1785495431.551650047,1789399186.334955,0.100138,-0.019285800679189745,-0.022500109022704044,-0.010172106356750421,-0.018676508612588055,0.002115033447280932,0.0002727082249197777,0.9998233045342486
1785495431.651865959,1789399186.374777,0.100216,-0.014350377207541096,-0.027791019661155263,-0.011120597587671033,-0.018652261459418645,0.002595782464816412,0.00022170585862765508,0.9998226372224011
