stamp_sec,x,y,z
1785495426.753358,7.847612758744189,-4.122718066427082,-0.8085159943555889
1785495429.25238,7.905818033529713,-4.164197529567753,-0.8206606415363451
1785495429.351786,7.860734309319994,-4.1325722003650665,-0.806926484699054
1785495429.552469,7.814571214548214,-4.13294879160497,-0.7998078846752226
1785495429.651682,7.838325133253131,-4.11546649177433,-0.8035408462932632
1785495429.852205,7.857690470123869,-4.139855947225361,-0.8067864304350696
1785495429.951565,7.863032666502662,-4.147652957194974,-0.8083626278341367
1785495430.051864,7.870278825931856,-4.144996431314427,-0.8100849885896658
1785495430.152067,7.87949892976137,-4.147364084730981,-0.8136578154067267
1785495430.251229,7.88196120044883,-4.141513234087049,-0.8118675080165398
1785495430.351476,7.883957269656612,-4.145411213483222,-0.8124163830499428
1785495430.451785,7.884072704576385,-4.140887972871229,-0.814426858157879
1785495430.552309,7.884163511983108,-4.146732497357272,-0.8123453243850458
1785495430.652525,7.889679522806049,-4.144749290974768,-0.813430918485665
1785495430.751563,7.890573852450987,-4.147375383384344,-0.8131629671556293
1785495430.851839,7.893965153373883,-4.144216040398392,-0.8154079927241881
1785495430.952213,7.889838350438297,-4.141607778894922,-0.8127491811539562
1785495431.052498,7.894466982080635,-4.140050283147827,-0.8151770786523027
1785495431.152724,7.894981320079201,-4.143672481231955,-0.8174172218237591
1785495431.251973,7.892832654217607,-4.145473500589125,-0.8162877982538879
1785495431.352257,7.8898915711654185,-4.1402349329925165,-0.8148218236131228
1785495431.451512,7.906932123777642,-4.159729755317108,-0.8164261308388032
1785495431.55165,7.900101753883345,-4.155930957247612,-0.813939758826346
1785495431.651866,7.887344995934168,-4.155211534370302,-0.8136367365274053
1785495431.75211,7.886821849845621,-4.155105468760825,-0.8113232209404612
1785495431.851408,7.887810300763469,-4.149015794635413,-0.8127101579914882
1785495431.951629,7.888825864691584,-4.143441013215654,-0.8118696755945711
1785495432.052097,7.888828132939355,-4.137289352951256,-0.8173343921994742
1785495432.152304,7.899656673893536,-4.15009804392426,-0.8162311079118556
1785495432.251546,7.898311152303445,-4.14458126392491,-0.8160844990943072
1785495432.351875,7.8930781946582185,-4.148378426660322,-0.8172731587492301
1785495432.451059,7.893875851504216,-4.1438847984833815,-0.8148965128949137
1785495432.551098,7.887903938655947,-4.144535910113311,-0.8167072516234551
1785495432.651318,7.896258745309997,-4.145354229108186,-0.8168614433977487
1785495432.751388,7.893195973560653,-4.1443124052133085,-0.8169418510737076
1785495432.851555,7.886606095576537,-4.151571494952241,-0.813904929252915
1785495432.951649,7.847794919777616,-4.185564255833725,-0.8050323026656316
1785495433.051077,7.841565327911383,-4.165688055525982,-0.8066988563251676
1785495433.151296,7.843619420274981,-4.158542640142053,-0.8042674140178607
1785495433.251557,7.846178121525779,-4.156045786023412,-0.8051776384512226
1785495433.351827,7.861106652052676,-4.1726517212856455,-0.8072817483557484
1785495433.451191,7.861357660858275,-4.164719713471587,-0.8083826292151225
1785495433.550651,7.860468269969466,-4.1655546646219435,-0.8074415666143084
1785495433.65102,7.8730884793037825,-4.161593820467932,-0.80971391410926
1785495433.751178,7.8777614237376845,-4.173221936709396,-0.8109753405935023
1785495433.85131,7.885602960048397,-4.170525849074668,-0.8124427429173062
1785495433.950404,7.881606855102795,-4.170579234811635,-0.8117212774990508
1785495434.051544,7.858241463130832,-4.156142254293085,-0.8097746376490909
1785495434.150708,7.860907305860215,-4.156568353564245,-0.8063528278891126
1785495434.250871,7.869055080452816,-4.154023187754299,-0.8077390825572935
1785495434.351071,7.870301757103699,-4.155271091490992,-0.8083509056464784
1785495434.451295,7.875583381297078,-4.156459001214202,-0.8109555173106855
1785495434.551486,7.878098169853633,-4.153860666200733,-0.8098724430507435
1785495434.651635,7.879948086070747,-4.151732646718238,-0.8114960268714624
1785495434.751907,7.889925640723152,-4.17251977097472,-0.8086849884880707
1785495434.851049,7.895952844771691,-4.1710598810734965,-0.8144694419157683
1785495434.951306,7.895502806774241,-4.172510651848314,-0.8130313492867813
1785495435.051503,7.89929346105038,-4.16114632147757,-0.8142750657384721
1785495435.151708,7.89918158163168,-4.16099081548865,-0.815200388463177
1785495435.250991,7.916766438093886,-4.169693551614503,-0.8179142383990913
1785495435.351385,7.91278449035544,-4.16910294557573,-0.8203684465115766
1785495435.45162,7.922328039819378,-4.157489199638012,-0.8192111341044033
1785495435.550599,7.920020576185963,-4.151706798930201,-0.8172227692134891
1785495435.65158,7.926008487859022,-4.146389642682287,-0.8200126801066165
1785495435.751743,7.927286449348796,-4.1500937392560315,-0.8200765381663168
1785495435.851042,7.936796209468596,-4.148913492116834,-0.8212843442670358
1785495435.951189,7.934842017484654,-4.152639200266704,-0.8203308851358311
1785495436.051346,7.936483624993333,-4.145222959204842,-0.8210843767309355
1785495436.15139,7.928281800136527,-4.147683316347188,-0.8191042298839967
1785495436.251376,7.935625598232898,-4.148507310007735,-0.8195832886942447
1785495436.351551,7.9186530598944485,-4.149044873204297,-0.818106899151865
1785495436.450613,7.926954344398531,-4.1655318271775394,-0.8171416127365587
1785495436.550845,7.9209802782355005,-4.160983401365122,-0.8173813220932857
1785495436.651091,7.92395434884694,-4.158452682235213,-0.8179445455569834
1785495436.750402,7.9165964542787375,-4.157588388413024,-0.8183431922586009
1785495436.850745,7.917180700427932,-4.151570646117084,-0.8176520592870462
1785495436.950962,7.9115460946185765,-4.153387452211374,-0.8176129460855615
1785495437.050417,7.885790957649229,-4.138240099310072,-0.8116164565615694
1785495437.150522,7.891103557867587,-4.145395006654403,-0.8137078379183498
1785495437.250828,7.896376782408001,-4.1415910451482825,-0.8155192618912819
1785495437.350404,7.893791231498326,-4.137014179156078,-0.8163700825194393
1785495437.450459,7.894203137888899,-4.131773565742563,-0.8157429405453722
1785495437.550647,7.892810175227802,-4.13858081159039,-0.8146538011216073
1785495437.649825,7.898989483905298,-4.139531464913689,-0.8164145335680928
1785495437.750037,7.868908532581726,-4.1365647205564295,-0.8086990340229543
1785495437.850322,7.880379286239393,-4.144970948017906,-0.8107486815002767
1785495437.950533,7.861426003255161,-4.172854502787308,-0.8047776990511832
1785495438.050499,7.865787031941102,-4.170496313777126,-0.8066363417782749
1785495438.150568,7.865276729653976,-4.169678703244834,-0.8072188401125666
1785495438.249729,7.863701312097089,-4.161606330592905,-0.808858205895939
1785495438.350084,7.859342202280167,-4.158214467840211,-0.8086161966335387
1785495438.450419,7.8708995876345575,-4.149640549992481,-0.8073890896291721
1785495438.550498,7.873615488845947,-4.150999605299964,-0.8080721667478932
1785495438.650703,7.878458165236497,-4.14165209419357,-0.8101749007676536
1785495438.750829,7.882580324668468,-4.144838915062215,-0.8121207264258246
1785495438.850051,7.882779364103994,-4.147794960215923,-0.8142214956110758
1785495438.951115,7.878540246607637,-4.14395354594224,-0.8128186974932949
1785495439.05039,7.878518360314616,-4.138016350902402,-0.8122463278445964
1785495439.150553,7.88230101304166,-4.152885421476428,-0.8120278084023547
1785495439.250769,7.873383268611599,-4.1422453914846855,-0.8124719534937234
1785495439.351068,7.883763857202594,-4.157736962492965,-0.8161528816496375
1785495439.450487,7.865540711281524,-4.162576537045559,-0.8057061981405241
1785495439.550635,7.862235460310193,-4.156754500314266,-0.8066542925215605
1785495439.650706,7.860449196274757,-4.191061493096093,-0.8093581571419133
1785495439.750831,7.853425369518114,-4.191689138588817,-0.806838204900826
1785495439.850076,7.859184869960661,-4.187131007605657,-0.8053591642635516
1785495439.950312,7.861145964790617,-4.185910925959715,-0.80533441796259
1785495440.050416,7.8532043836183805,-4.180414521443843,-0.8062072744678723
1785495440.15078,7.841981275960837,-4.235320753965833,-0.8047332920310152
1785495440.249979,7.835099189939556,-4.252721379060857,-0.8024772602768339
1785495440.35,7.837238954921079,-4.245442627340444,-0.8024679152084596
1785495440.450159,7.844200556819433,-4.229955408851665,-0.8028747511529859
1785495440.550284,7.849430494353286,-4.22747745738681,-0.8031464837002149
