time_sec,cpu_ticks,rss_kb
1789168770.581284060,27,131316
1789168772.593707125,105,196916
1789168774.612857073,289,232484
1789168776.637584338,420,232484
1789168778.657946587,554,232484
1789168780.673276237,685,232484
1789168782.690047654,817,232484
1789168784.708600964,947,232484
1789168786.733760167,1080,232484
1789168788.749310614,1212,232484
1789168790.766430315,1345,232484
1789168792.779222891,1478,232484
1789168794.795725487,1613,232484
1789168796.817505369,1747,232484
1789168798.832536654,1883,232484
1789168800.851221513,2016,232484
1789168802.865522830,2146,232484
1789168804.880414940,2280,232484
1789168806.895077521,2414,232484
1789168808.921555207,2549,232484
1789168810.939986699,2686,232484
1789168812.960248982,2820,232484
1789168814.976174060,2953,232484
1789168816.991610539,3090,232484
1789168819.012349615,3224,232484
1789168821.033194780,3360,232484
1789168823.054776785,3497,232484
1789168825.073794641,3634,232484
1789168827.092671578,3770,232484
1789168829.116180392,3906,232484
1789168831.137282146,4045,232484
1789168833.162673409,4185,232484
1789168835.177960370,4325,232484
1789168837.193514412,4463,232484
1789168839.208486608,4602,232484
1789168841.229044633,4737,232484
1789168843.248609037,4874,232484
1789168845.272173447,5011,232484
1789168847.289241809,5147,232484
1789168849.306661252,5281,232484
1789168851.325357345,5416,232484
1789168853.347181861,5551,232484
1789168855.370535985,5686,232484
1789168857.385987471,5821,232484
1789168859.408649905,5953,232484
1789168861.429026752,6084,232484
1789168863.448713562,6219,232484
1789168865.468834398,6354,232484
1789168867.485475280,6487,232484
1789168869.509972517,6620,232484
1789168871.533440262,6757,232484
1789168873.553106230,6891,232484
1789168875.571838994,7025,232484
1789168877.587835932,7158,232484
1789168879.615374310,7291,232484
1789168881.631097255,7428,232484
1789168883.656156297,7569,232484
1789168885.675591453,7710,232484
1789168887.688826244,7843,232484
1789168889.710661932,7977,232484
1789168891.734501790,8038,232440
1789168893.757037374,8042,216108
1789168895.777755787,8042,216108
1789168897.799780387,8042,216108
1789168899.819181705,8042,216108
1789168901.839343132,8042,216108
