message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
16,1785497058.506133080,map,8.4083318710,-3.7862570286,-1.3953214884,0.0486988548,0.0585136710,0.8519697161,0.5180271648,0.0429179721 0 0 0 0 0 0 0.0429179721 0 0 0 0 0 0 0.09435127855 0 0 0 0 0 0 0.0007524452019 0 0 0 0 0 0 0.0007524452019 0 0 0 0 0 0 0.001307356192
17,1785497058.605814695,map,8.4206123352,-3.7443468571,-1.3977963924,0.0489339034,0.0582122920,0.8523275427,0.5174500793,0.04288350745 0 0 0 0 0 0 0.04288350745 0 0 0 0 0 0 0.09430017436 0 0 0 0 0 0 0.0007516487835 0 0 0 0 0 0 0.0007516487835 0 0 0 0 0 0 0.001306306339
18,1785497058.705622435,map,8.4175853729,-3.7707293034,-1.3966320753,0.0487204609,0.0583324841,0.8521157426,0.5178053303,0.04305340723 0 0 0 0 0 0 0.04305340723 0 0 0 0 0 0 0.0945520372 0 0 0 0 0 0 0.0007555758581 0 0 0 0 0 0 0.0007555758581 0 0 0 0 0 0 0.001311481782
19,1785497058.805493832,map,8.4185562134,-3.7732613087,-1.3960207701,0.0487866267,0.0582332288,0.8520695627,0.5178862608,0.04290258756 0 0 0 0 0 0 0.04290258756 0 0 0 0 0 0 0.09432846718 0 0 0 0 0 0 0.0007520896793 0 0 0 0 0 0 0.0007520896793 0 0 0 0 0 0 0.001306887553
20,1785497058.905643940,map,8.4156885147,-3.7751605511,-1.3959560394,0.0487785360,0.0583056265,0.8520237699,0.5179542327,0.04331607887 0 0 0 0 0 0 0.04331607887 0 0 0 0 0 0 0.09494110926 0 0 0 0 0 0 0.0007616521052 0 0 0 0 0 0 0.0007616521052 0 0 0 0 0 0 0.001319483218
21,1785497059.005920410,map,8.4129257202,-3.7797553539,-1.3962910175,0.0489131439,0.0584655602,0.8519730420,0.5180069353,0.04297776605 0 0 0 0 0 0 0.04297776605 0 0 0 0 0 0 0.09443992521 0 0 0 0 0 0 0.0007538271782 0 0 0 0 0 0 0.0007538271782 0 0 0 0 0 0 0.00130917762
22,1785497059.105730772,map,8.4096164703,-3.7963471413,-1.3965137005,0.0490386268,0.0585382612,0.8518355368,0.5182129691,0.04314947303 0 0 0 0 0 0 0.04314947303 0 0 0 0 0 0 0.09469437549 0 0 0 0 0 0 0.000757797419 0 0 0 0 0 0 0.000757797419 0 0 0 0 0 0 0.001314408114
23,1785497059.305551767,map,8.4067697525,-3.7993087769,-1.3945282698,0.0489519223,0.0584527140,0.8518394729,0.5182243416,0.04296438551 0 0 0 0 0 0 0.04296438551 0 0 0 0 0 0 0.09442008982 0 0 0 0 0 0 0.0007535178963 0 0 0 0 0 0 0.0007535178963 0 0 0 0 0 0 0.001308770026
24,1785497059.405975819,map,8.4086246490,-3.7992362976,-1.3937748671,0.0487941407,0.0583277053,0.8518302969,0.5182683912,0.04316605571 0 0 0 0 0 0 0.04316605571 0 0 0 0 0 0 0.09471894043 0 0 0 0 0 0 0.0007581809798 0 0 0 0 0 0 0.0007581809798 0 0 0 0 0 0 0.001314913251
25,1785497059.505888700,map,8.4079456329,-3.8026242256,-1.3940309286,0.0485244778,0.0581413667,0.8518205861,0.5183306280,0.04263096638 0 0 0 0 0 0 0.04263096638 0 0 0 0 0 0 0.09392550179 0 0 0 0 0 0 0.0007458161115 0 0 0 0 0 0 0.0007458161115 0 0 0 0 0 0 0.001298613498
26,1785497059.605641365,map,8.4084215164,-3.8081979752,-1.3939470053,0.0485592909,0.0581720185,0.8517991691,0.5183591600,0.04288810528 0 0 0 0 0 0 0.04288810528 0 0 0 0 0 0 0.09430699241 0 0 0 0 0 0 0.0007517550255 0 0 0 0 0 0 0.0007517550255 0 0 0 0 0 0 0.001306446397
27,1785497059.705504417,map,8.4046211243,-3.8112154007,-1.3928588629,0.0486049998,0.0581321435,0.8517965077,0.5183636660,0.0430434412 0 0 0 0 0 0 0.0430434412 0 0 0 0 0 0 0.09453726782 0 0 0 0 0 0 0.0007553454344 0 0 0 0 0 0 0.0007553454344 0 0 0 0 0 0 0.0013111782
28,1785497059.805650949,map,8.4080619812,-3.8180084229,-1.3923532963,0.0487097751,0.0581214843,0.8517526495,0.5184271489,0.04287074881 0 0 0 0 0 0 0.04287074881 0 0 0 0 0 0 0.09428125414 0 0 0 0 0 0 0.0007513539791 0 0 0 0 0 0 0.0007513539791 0 0 0 0 0 0 0.001305917689
29,1785497059.905936241,map,8.4028091431,-3.8242144585,-1.3927286863,0.0487793334,0.0582499161,0.8517006503,0.5184916226,0.04277376318 0 0 0 0 0 0 0.04277376318 0 0 0 0 0 0 0.09413740092 0 0 0 0 0 0 0.0007491134622 0 0 0 0 0 0 0.0007491134622 0 0 0 0 0 0 0.001302963337
30,1785497060.005677700,map,8.4033079147,-3.8276164532,-1.3935397863,0.0486844633,0.0583546319,0.8516598892,0.5185557004,0.04298909679 0 0 0 0 0 0 0.04298909679 0 0 0 0 0 0 0.09445672117 0 0 0 0 0 0 0.0007540890922 0 0 0 0 0 0 0.0007540890922 0 0 0 0 0 0 0.001309522774
