time_sec,cpu_ticks,rss_kb
1789402885.698915354,18,54900
1789402887.715462239,150,109988
1789402889.734746280,327,138832
1789402891.750129692,471,138832
1789402893.767217583,610,138832
1789402895.793089483,747,138832
1789402897.810842783,886,138832
1789402899.828779606,1022,138832
1789402901.843522855,1158,138832
1789402903.856583948,1300,138832
1789402905.870249193,1442,138832
1789402907.892161631,1597,138832
1789402909.908201074,1749,138832
1789402911.922872817,1889,138832
1789402913.937595926,2037,138832
1789402915.950805259,2184,138832
1789402917.970555746,2333,138832
1789402919.994649077,2478,138832
1789402922.015100236,2616,138832
1789402924.032810960,2756,138832
1789402926.045221603,2894,138832
1789402928.060898028,3026,138832
1789402930.085819155,3166,138832
1789402932.102535315,3303,138832
1789402934.121940534,3442,138832
1789402936.135533716,3577,138832
1789402938.149340310,3712,138832
1789402940.166773924,3848,138832
1789402942.188160854,3991,138832
1789402944.203741955,4131,138832
1789402946.225813588,4275,138832
1789402948.240105969,4420,138832
1789402950.260030089,4544,138832
1789402952.285319777,4679,138832
1789402954.299226240,4806,138832
1789402956.317577047,4933,138832
1789402958.338591187,5066,138832
1789402960.352687557,5204,138832
1789402962.374452510,5335,138832
1789402964.395689644,5471,138832
1789402966.415089135,5609,138832
1789402968.432049112,5751,138832
1789402970.444550585,5886,138832
1789402972.466260442,6021,138832
1789402974.485360644,6161,138832
1789402976.504800941,6298,138832
1789402978.521326919,6436,138832
1789402980.536849986,6571,138832
1789402982.548570276,6713,138832
1789402984.564401606,6854,138832
1789402986.584998296,6990,138832
1789402988.604306962,7115,138832
1789402990.625240106,7257,138832
1789402992.638893504,7397,138832
1789402994.651839344,7532,138832
1789402996.672405703,7663,138832
1789402998.690867387,7799,138832
1789403000.708909888,7937,138832
1789403002.725310006,8069,138832
1789403004.738706015,8191,138832
1789403006.757079442,8248,138832
1789403008.777744434,8248,138832
1789403010.796290223,8248,138832
1789403012.818580308,8248,138832
1789403014.837397784,8248,138832
1789403016.855481974,8248,138832
